"OBJECTID","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRange","PUIAgeMedian","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRes","PUIFLResOut","PUIContNo","PUIContUnkn","PUITravelNo","PUITravelYes","TPositive","TNegative","TInconc","TPending","T_Total_Res","T_LabPrivate_Res","T_LabDOH_Res","T_LabPrivate_NonRes","T_LabDOH_NonRes","C_Female","C_Male","C_SexUnkn","C_AllResTypes","C_Age_0_4","C_Age_5_14","C_Age_15_24","C_Age_25_34","C_Age_35_44","C_Age_45_54","C_Age_55_64","C_Age_65_74","C_Age_75_84","C_Age_85plus","C_Age_Unkn","C_AgeRange","C_AgeMedian","C_RaceWhite","C_RaceBlack","C_RaceOther","C_RaceUnknown","C_HispanicYES","C_HispanicNO","C_HispanicUnk","C_EDYes_Res","C_EDYes_NonRes","C_HospYes_Res","C_HospYes_NonRes","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFLRes","T_total","T_negative","T_positive","Deaths","EverMon","MonNow","Chart_MedAge","Antibody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Metrics_WeekStart","Metrics_WeekEnd","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","Last7Days_Cases","Last7DaysPrev_Cases","Delta7Days","Delta7Days_Pct","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","RankCases_30Days","Deaths_Yesterday","C_DeltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,15483,212,208,1689,2862,2250,2227,2572,1907,916,574,66,"0 to 119",47,8933,6400,150,15210,273,0,212,15007,569,63,633,14844,6,0,15204,557,53,12,11,305,305,0,610,5,7,169,145,66,71,65,67,24,13,1,"0 to 103","34",219,155,141,95,157,358,95,141,5,85,4,0,11,633,316,317,610,23,0,32256,250,33148,32506,633,11,116,94,49,45,1124,0,1169,3.85,678,15968,16652,"6.3",2,4.4,"2020-06-07","2020-06-13","NO","NO","NO","YES","increased by","increased by","increased by","increased by","38.5","40","672.2","656.1","%","%","%","%",52,9,114,115,-1,"-0.9",11,146,89,23.1,14.1,1.7,600,2,11,33,0,13,2,1,0
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,892,30,16,97,132,122,145,147,103,66,32,2,"0 to 99",48,493,346,53,832,60,0,25,839,69,3,39,853,0,0,832,17,22,0,0,22,17,0,39,0,2,5,4,6,3,5,6,5,3,0,"10 to 97","53",26,10,2,1,0,37,2,10,0,12,0,0,4,39,17,22,39,0,0,1354,60,1453,1414,39,4,23,22,70,0,22,0,22,0,39,875,914,"3.3",2.6,4.4,"2020-06-07","2020-06-13","NO","YES","NO","YES","decreased by","did not change","increased by","increased by","50","","1","0.003636364","%","","case","percent difference",3,3,6,1,5,"500",4,10,12,25.6,30.8,10.3,35,3,4,4,0,3,1,1,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,3250,37,31,214,400,432,542,622,442,289,186,55,"0 to 119",53,1813,1383,54,3216,34,0,73,3075,193,48,175,3043,0,32,3190,137,30,8,0,76,91,0,167,3,1,21,38,26,38,22,12,13,1,0,"2 to 93","44",131,18,11,7,53,103,11,51,3,23,2,1,4,175,96,79,167,8,0,6044,20,6244,6064,175,4,61,53,50,13,649,0,662,1.96,188,3692,3912,"2.1",2.7,5.8,"2020-06-07","2020-06-13","YES","NO","NO","YES","decreased by","increased by","decreased by","decreased by","50","71.4","57.1","71.6","%","%","%","%",0,0,38,22,16,"72.7",5,54,25,30.9,14.3,2.9,167,7,4,8,0,1,0,0,0
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1474,20,26,117,187,168,222,290,189,146,103,6,"0 to 118",54,924,525,25,1472,2,0,29,1393,152,1,58,1415,0,1,1471,18,40,0,0,45,13,0,58,0,2,4,3,8,7,5,6,12,11,0,"8 to 107","64",49,7,2,0,1,56,1,7,0,12,0,0,2,58,13,45,58,0,0,2092,2,2153,2094,58,2,141,109,74,4,34,0,38,10.53,62,1449,1512,"5.6",2.8,4.2,"2020-06-07","2020-06-13","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","50","300","100","100","%","%","%","%",4,2,5,1,4,"400",2,7,12,12.1,20.7,3.4,56,2,2,2,0,3,0,0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,19567,261,346,1092,1865,2110,2719,4417,3948,2102,557,150,"0 to 119",58,11118,8343,106,19549,18,0,187,18957,664,86,748,18817,0,2,19547,676,60,10,2,378,354,4,736,14,23,109,111,120,106,124,71,40,29,1,"0 to 99","44",517,69,58,92,198,440,98,171,3,88,3,0,16,748,358,386,736,12,0,32421,6,33177,32427,748,16,656,598,53,56,2305,0,2361,2.37,804,21122,21928,"3.8",2.3,4.1,"2020-06-07","2020-06-13","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","16","12.5","169.7","155.4","%","%","%","%",15,3,217,78,139,"178.2",16,174,91,23.3,12.2,2.1,688,1,16,60,0,28,7,0,0
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,96860,1227,1605,6587,14098,14791,17043,18370,12685,6761,3500,193,"0 to 119",51,52602,42684,1574,95317,1543,0,2248,86996,10840,1024,10448,86375,13,24,95283,8912,1260,252,24,5105,5065,2,10172,95,252,1136,1802,1725,1835,1713,966,587,337,0,"0 to 102","46",5063,3545,891,673,3656,5880,636,2908,68,1788,56,22,367,10448,5247,5199,10172,276,0,145455,1264,157237,146719,10448,367,5111,4741,50,993,19445,3,20441,4.86,11441,105820,117301,"6.1",6.4,11.8,"2020-06-07","2020-06-13","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","28.8","1.7","61.5","61.7","%","%","%","%",307,144,1763,994,769,"77.4",389,2976,1844,28.5,17.6,3.7,10111,4,365,337,2,313,52,12,0
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,532,5,4,43,47,77,75,90,83,71,36,1,"0 to 99",56,317,197,18,532,0,0,4,441,53,3,65,467,0,0,532,49,16,0,0,50,15,0,65,0,0,6,4,3,2,3,7,20,20,0,"20 to 99","78",47,10,0,8,0,52,13,11,0,6,0,0,5,65,15,50,65,0,0,663,0,730,663,65,5,99,37,52,0,14,0,14,0,65,481,546,"3.8",8.7,12.2,"2020-06-07","2020-06-13","NO","NO","YES","YES","increased by","increased by","decreased by","increased by","2","3","33.3","6","case","case","%","%",38,5,2,1,1,"100",5,11,6,16.9,9.2,7.7,65,11,5,0,0,0,0,0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5502,61,52,249,459,529,751,1058,1052,738,547,6,"0 to 119",61,3250,2185,67,5483,19,0,151,4963,562,23,570,4927,1,4,5478,422,145,2,1,348,219,0,567,5,8,23,59,37,62,105,84,85,102,0,"0 to 101","63",465,54,14,34,37,485,45,104,1,135,1,0,75,570,221,349,567,3,0,9323,16,9912,9339,570,75,88,69,68,32,1248,0,1280,2.5,602,6175,6782,"3.8",5.4,10.9,"2020-06-07","2020-06-13","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","50","54.5","14.7","0.8","%","%","%","%",88,47,39,42,-3,"-7.1",75,105,136,18.4,23.9,13.2,553,4,74,17,1,12,2,1,0
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,3927,38,70,183,364,352,459,723,906,625,198,9,"0 to 222",61,2183,1543,201,3920,7,0,58,3587,253,26,168,3757,1,1,3919,97,71,0,0,83,85,0,168,2,5,16,15,12,26,41,22,18,11,0,"0 to 97","58",123,11,8,26,16,126,26,32,0,34,0,0,12,168,85,83,168,0,0,7862,6,8039,7868,168,12,679,224,58,20,632,0,652,3.07,188,4389,4579,"3.2",2.2,4.8,"2020-06-07","2020-06-13","YES","NO","NO","YES","decreased by","decreased by","increased by","increased by","41.7","80","114.3","169.9","%","%","%","%",4,1,29,9,20,"222.2",12,32,34,19,20.2,7.1,162,12,12,6,0,7,0,0,0
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,8256,119,203,622,951,1142,1348,1481,1303,761,305,21,"0 to 101",53,4771,3376,109,8235,21,0,116,7759,516,48,468,7787,1,0,8234,404,61,3,0,273,192,0,465,0,7,37,50,58,70,82,77,55,32,0,"6 to 100","56",261,91,46,67,44,341,80,130,0,96,0,0,32,468,193,275,465,3,0,13816,18,14306,13834,468,32,292,259,59,28,773,0,801,3.5,496,8560,9057,"4.4",3.3,6,"2020-06-07","2020-06-13","YES","YES","NO","YES","did not change","did not change","increased by","increased by","","","218.2","192.4","","","%","%",39,23,35,32,3,"9.4",32,130,96,27.8,20.5,6.8,456,4,32,12,0,4,1,0,0
