"OBJECTID","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRange","PUIAgeMedian","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRes","PUIFLResOut","PUIContNo","PUIContUnkn","PUITravelNo","PUITravelYes","TPositive","TNegative","TInconc","TPending","T_Total_Res","T_LabPrivate_Res","T_LabDOH_Res","T_LabPrivate_NonRes","T_LabDOH_NonRes","C_Female","C_Male","C_SexUnkn","C_AllResTypes","C_Age_0_4","C_Age_5_14","C_Age_15_24","C_Age_25_34","C_Age_35_44","C_Age_45_54","C_Age_55_64","C_Age_65_74","C_Age_75_84","C_Age_85plus","C_Age_Unkn","C_AgeRange","C_AgeMedian","C_RaceWhite","C_RaceBlack","C_RaceOther","C_RaceUnknown","C_HispanicYES","C_HispanicNO","C_HispanicUnk","C_EDYes_Res","C_EDYes_NonRes","C_HospYes_Res","C_HospYes_NonRes","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFLRes","T_total","T_negative","T_positive","Antibody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Metrics_WeekStart","Metrics_WeekEnd","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","Last7Days_Cases","Last7DaysPrev_Cases","Delta7Days","Delta7Days_Pct","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","RankCases_30Days","Deaths_Yesterday","C_DeltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,15575,214,209,1738,2879,2257,2233,2577,1910,918,574,66,"0 to 119",47,8979,6447,149,15303,272,0,215,15079,584,63,716,14853,6,0,15297,641,53,11,11,349,345,0,694,7,8,218,162,71,75,67,69,25,13,1,"0 to 103","32",247,161,148,138,160,396,138,145,5,86,4,0,11,716,356,360,694,22,0,34336,250,35311,34586,716,48,1255,0,"1303",3.68,764,16108,16878,"6.4",2.1,4.9,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","10.5","13.6","24.1","45.5","%","%","%","%",52,9,171,139,32,"23",11,150,90,20.9,12.6,1.5,673,2,11,43,0,17,3,1,0
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,895,30,16,97,132,123,147,147,103,66,32,2,"0 to 99",48,495,347,53,835,60,0,24,841,72,3,41,854,0,0,835,19,22,0,0,23,18,0,41,0,2,5,4,6,5,5,6,5,3,0,"10 to 97","48",27,10,2,2,1,37,3,10,0,12,0,0,4,41,18,23,41,0,0,1412,60,1513,1472,41,0,24,0,"24",0,41,878,919,"3.3",2.7,4.6,"2020-06-14","2020-06-20","YES","NO","NO","YES","did not change","increased by","increased by","increased by","","25","1000","1689.9","","%","%","%",3,3,11,1,10,"1000",4,10,12,24.4,29.3,9.8,39,3,4,2,0,3,1,1,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,3266,37,31,217,403,435,548,622,443,289,186,55,"0 to 119",53,1822,1389,55,3230,36,0,80,3080,208,50,190,3043,0,33,3203,149,31,9,1,81,98,1,180,3,1,24,41,28,43,23,13,13,1,0,"2 to 93","44",141,18,11,10,57,108,15,56,3,24,2,1,4,190,102,87,180,10,0,6184,20,6399,6204,190,15,690,0,"705",2.13,205,3733,3971,"2.2",2.9,6.3,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","83.3","61.5","266.7","266.3","%","%","%","%",0,0,49,13,36,"276.9",5,59,26,31.1,13.7,2.6,188,10,4,2,0,1,0,0,0
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1477,20,26,118,188,169,222,290,189,146,103,6,"0 to 118",54,925,527,25,1475,2,0,30,1394,156,2,61,1415,0,1,1474,21,40,0,0,46,15,0,61,0,2,5,4,9,7,5,6,12,11,0,"8 to 107","62",51,9,1,0,3,58,0,7,0,12,0,0,2,61,15,46,61,0,0,2152,2,2216,2154,61,5,42,0,"47",10.64,66,1457,1524,"5.6",2.9,4.5,"2020-06-14","2020-06-20","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","50","50","9","0.033962264","%","%","case","percent difference",4,2,9,0,9,"",2,7,12,11.5,19.7,3.3,61,3,2,0,0,3,0,0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,19679,261,351,1125,1887,2129,2733,4431,3954,2102,557,149,"0 to 119",58,11178,8397,104,19661,18,0,197,19014,732,87,850,18826,0,3,19658,777,61,10,2,434,402,2,838,14,26,139,135,140,117,134,76,40,29,0,"0 to 99","42",558,77,72,131,216,484,138,182,3,92,3,0,16,850,406,442,838,12,0,33827,6,34685,33833,850,64,2606,1,"2671",2.4,914,21432,22350,"3.9",2.4,4.6,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","76.2","112.5","240.4","170","%","%","%","%",15,3,304,89,215,"241.6",16,185,95,21.8,11.2,1.9,817,1,16,33,0,29,7,0,0
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,97658,1252,1663,6737,14264,14949,17141,18460,12721,6769,3508,194,"0 to 119",50,53009,43088,1561,96114,1544,0,2365,87214,11386,1038,11155,86462,13,28,96076,9617,1261,253,24,5471,5403,4,10878,113,295,1279,1960,1862,1914,1789,1001,597,344,1,"0 to 102","45",5361,3683,961,873,3970,6120,788,2989,69,1821,56,22,373,11155,5585,5566,10878,277,0,151564,1264,164058,152828,11155,1119,22405,3,"23527",4.76,12274,108867,121185,"6.3",6.5,12.6,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","47.6","37.6","106.4","75.6","%","%","%","%",307,155,2239,1125,1114,"99",395,3058,1877,27.4,16.8,3.5,10837,1,370,318,3,378,58,12,0
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,536,5,4,43,49,79,75,90,83,71,36,1,"0 to 99",56,319,199,18,536,0,0,4,442,55,3,69,467,0,0,536,53,16,0,0,52,17,0,69,0,0,6,6,5,2,3,7,20,20,0,"20 to 99","78",51,10,0,8,1,55,13,11,0,6,0,0,6,69,17,52,69,0,0,672,0,743,672,69,0,14,0,"14",0,69,481,550,"3.8",9.1,12.9,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","50","100","400","418.9","%","%","%","%",38,5,5,1,4,"400",6,11,6,15.9,8.7,8.7,68,5,6,1,0,0,0,0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5524,61,52,252,461,530,758,1061,1055,739,549,6,"0 to 119",61,3262,2195,67,5505,19,0,157,4973,572,23,587,4933,1,3,5501,439,145,2,1,357,226,1,584,5,8,25,61,38,67,108,87,85,103,0,"0 to 101","63",471,55,15,43,37,493,54,104,1,135,1,0,75,587,228,358,584,3,0,9665,16,10270,9681,587,44,1425,0,"1469",3,631,6358,6993,"4",5.4,11.4,"2020-06-14","2020-06-20","YES","NO","NO","YES","did not change","increased by","increased by","increased by","","33.3","25","56.9","","%","%","%",88,49,51,40,11,"27.5",75,105,136,17.9,23.2,12.8,581,6,75,6,0,12,2,1,0
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,3959,38,69,188,367,353,464,735,912,626,198,9,"0 to 222",61,2207,1553,199,3952,7,0,65,3590,272,26,189,3768,1,1,3951,113,76,0,0,98,91,0,189,2,4,20,17,12,30,48,26,19,11,0,"0 to 97","57",140,9,10,30,19,140,30,32,0,34,0,0,12,189,91,98,189,0,0,8138,6,8336,8144,189,21,743,0,"764",2.75,210,4511,4723,"3.3",2.3,5.3,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","14.3","100","200","352.1","%","%","%","%",4,1,45,15,30,"200",12,32,34,16.9,18,6.3,183,2,12,6,0,6,0,0,0
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,8282,120,203,628,958,1147,1350,1482,1306,761,306,21,"0 to 101",53,4786,3387,109,8261,21,0,118,7776,525,48,494,7787,1,0,8260,428,63,3,0,289,202,0,491,1,7,43,57,63,72,83,80,55,33,0,"0 to 100","55",269,96,48,78,46,353,92,133,0,96,0,0,32,494,203,291,491,3,0,14177,18,14693,14195,494,30,878,0,"908",3.3,524,8665,9190,"4.4",3.4,6.3,"2020-06-14","2020-06-20","YES","NO","NO","YES","decreased by","decreased by","increased by","increased by","10","21.1","57.1","121.9","%","%","%","%",39,23,55,35,20,"57.1",32,133,96,26.9,19.4,6.5,481,1,32,13,0,6,1,0,0
