"OBJECTID","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRange","PUIAgeMedian","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRes","PUIFLResOut","PUIContNo","PUIContUnkn","PUITravelNo","PUITravelYes","TPositive","TNegative","TInconc","TPending","T_Total_Res","T_LabPrivate_Res","T_LabDOH_Res","T_LabPrivate_NonRes","T_LabDOH_NonRes","C_Female","C_Male","C_SexUnkn","C_AllResTypes","C_Age_0_4","C_Age_5_14","C_Age_15_24","C_Age_25_34","C_Age_35_44","C_Age_45_54","C_Age_55_64","C_Age_65_74","C_Age_75_84","C_Age_85plus","C_Age_Unkn","C_AgeRange","C_AgeMedian","C_RaceWhite","C_RaceBlack","C_RaceOther","C_RaceUnknown","C_HispanicYES","C_HispanicNO","C_HispanicUnk","C_EDYes_Res","C_EDYes_NonRes","C_HospYes_Res","C_HospYes_NonRes","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFLRes","T_total","T_negative","T_positive","SHAPE_Length","Antibody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Metrics_WeekStart","Metrics_WeekEnd","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_DeltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,15717,214,211,1809,2903,2267,2250,2584,1917,921,575,66,"0 to 119",47,9044,6523,150,15444,273,0,249,15140,652,68,863,14848,6,0,15438,781,59,12,11,415,424,1,840,7,10,291,190,81,94,73,74,28,14,1,"0 to 103","30",317,182,171,170,186,480,174,160,6,92,5,0,11,863,436,426,840,23,0,36222,250,37344,36472,863,2.62533239231304,48,1255,0,1303,3.68,911,16103,17020,"6.5",2.4,5.8,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","10.5","13.6","24.1","45.5","%","%","%","%",53,9,11,166,97,19.2,11.2,1.3,807,11,56,0,19,4,1,0
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,899,30,16,98,134,123,147,148,103,66,32,2,"0 to 99",48,498,349,52,839,60,0,25,842,79,3,44,854,0,1,838,22,22,0,0,24,20,0,44,0,2,6,6,6,4,6,6,5,3,0,"10 to 97","50",31,11,2,0,1,42,1,12,0,12,0,0,4,44,20,24,44,0,0,1506,60,1610,1566,44,1.77124519435665,0,24,0,24,0,44,878,923,"3.3",2.7,4.9,"2020-06-14","2020-06-20","YES","NO","NO","YES","did not change","increased by","increased by","increased by","","25","1000","1689.9","","%","%","%",3,3,4,12,12,27.3,27.3,9.1,42,4,2,0,4,2,1,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,3338,37,34,227,417,454,550,634,450,293,187,55,"0 to 119",53,1864,1421,53,3296,42,0,99,3089,278,57,248,3050,0,40,3264,200,35,12,1,114,121,0,235,3,3,30,52,44,46,33,19,16,2,0,"2 to 93","42",192,20,13,10,72,149,14,81,4,31,2,1,4,248,127,121,235,13,0,6767,21,7040,6788,248,5.42268520962735,15,690,0,705,2.13,263,3740,4043,"2.2",3.4,7.9,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","83.3","61.5","266.7","266.3","%","%","%","%",6,0,5,85,33,34.3,13.3,2,240,4,8,0,4,0,0,0
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1491,20,27,121,192,171,224,290,190,146,103,7,"0 to 118",54,933,533,25,1489,2,0,31,1394,168,2,73,1417,0,1,1488,30,43,0,0,53,20,0,73,0,4,8,7,10,9,5,7,12,11,0,"8 to 107","53",56,14,3,0,6,66,1,13,0,13,0,0,2,73,20,53,73,0,0,2332,2,2409,2334,73,1.60231093560507,5,42,0,47,10.64,78,1459,1538,"5.7",3.2,5.2,"2020-06-14","2020-06-20","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","50","50","9","0.033962264","%","%","case","percent difference",3,2,2,13,13,17.8,17.8,2.7,69,2,4,0,6,0,0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,19985,266,360,1202,1972,2167,2786,4458,3964,2104,558,148,"0 to 119",57,11331,8549,105,19963,22,0,255,19140,958,91,1149,18833,0,3,19960,1071,62,14,2,584,547,2,1133,20,35,217,219,177,161,159,89,42,30,0,"0 to 99","39",751,95,85,202,262,650,221,204,3,103,3,0,17,1149,553,593,1133,16,0,36643,6,37800,36649,1149,7.43388258345288,64,2606,1,2671,2.4,1213,21439,22656,"3.9",3,6.1,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","76.2","112.5","240.4","170","%","%","%","%",14,3,17,207,106,18,9.2,1.5,1022,17,127,0,41,7,0,0
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,100012,1471,1890,7075,14734,15350,17451,18671,12824,6816,3518,212,"0 to 119",50,54226,44240,1546,98464,1548,0,2640,87634,13200,1050,12584,87388,13,27,98427,10989,1314,256,25,6166,6133,4,12303,146,349,1533,2305,2120,2130,1926,1065,635,355,20,"0 to 102","44",6019,4112,1087,1085,4576,6772,955,3223,69,1907,56,22,379,12584,6320,6260,12303,281,0,163481,1264,177399,164745,12584,2.7919763283364,1119,22405,3,23527,4.76,13703,109793,123539,"6.5",6.8,13.7,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","47.6","37.6","106.4","75.6","%","%","%","%",312,155,401,3292,1963,26.2,15.6,3.2,12217,378,367,1,461,72,13,0
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,540,5,4,43,49,79,75,93,83,71,37,1,"0 to 99",56,321,201,18,540,0,0,4,442,56,5,70,470,0,0,540,54,16,0,0,52,18,0,70,0,0,6,6,5,2,4,7,20,20,0,"20 to 99","78",52,10,0,8,1,56,13,11,0,7,0,0,6,70,18,52,70,0,0,701,0,773,701,70,1.88103049327488,0,14,0,14,0,70,484,554,"3.8",8.9,13,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","50","100","400","418.9","%","%","%","%",29,5,6,11,7,15.7,10,8.6,70,6,0,0,0,0,0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5569,63,52,260,468,535,767,1067,1060,741,550,6,"0 to 119",60,3282,2221,66,5550,19,0,180,4974,613,24,626,4940,1,2,5547,470,153,2,1,376,247,0,623,7,8,33,67,43,74,112,90,87,105,0,"0 to 101","62",515,57,15,36,43,531,49,112,1,141,1,0,76,626,249,377,623,3,0,10243,16,10887,10259,626,3.83218059315228,44,1425,0,1469,3,670,6365,7038,"4",5.4,12,"2020-06-14","2020-06-20","YES","NO","NO","YES","did not change","increased by","increased by","increased by","","33.3","25","56.9","","%","%","%",82,49,76,113,142,18.1,22.7,12.1,617,76,9,0,14,3,1,0
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4040,38,70,203,377,359,478,750,921,636,199,9,"0 to 222",61,2248,1595,197,4033,7,0,76,3593,311,27,226,3812,1,1,4032,138,88,0,0,113,113,0,226,2,4,26,24,16,38,52,33,19,12,0,"0 to 97","55",176,9,11,30,24,172,30,33,0,35,0,0,12,226,113,113,226,0,0,8672,6,8907,8678,226,2.36078129145224,21,743,0,764,2.75,247,4555,4804,"3.4",2.6,6.1,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","14.3","100","200","352.1","%","%","%","%",3,1,12,33,35,14.6,15.5,5.3,219,12,7,0,6,0,0,0
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,8348,120,207,646,967,1154,1365,1487,1311,761,309,21,"0 to 101",52,4825,3418,105,8327,21,0,150,7784,583,54,542,7799,1,6,8320,474,65,3,0,312,227,0,539,0,8,58,67,66,84,85,84,55,35,0,"6 to 100","54",300,106,53,80,51,395,93,149,0,101,0,0,33,542,228,314,539,3,0,14868,18,15433,14886,542,1.77574995355385,30,878,0,908,3.3,572,8677,9256,"4.5",3.5,6.9,"2020-06-14","2020-06-20","YES","NO","NO","YES","decreased by","decreased by","increased by","increased by","10","21.1","57.1","121.9","%","%","%","%",28,23,33,149,101,27.5,18.6,6.1,523,33,19,0,7,2,0,0
