"OBJECTID","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRange","PUIAgeMedian","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRes","PUIFLResOut","PUIContNo","PUIContUnkn","PUITravelNo","PUITravelYes","TPositive","TNegative","TInconc","TPending","T_Total_Res","T_LabPrivate_Res","T_LabDOH_Res","T_LabPrivate_NonRes","T_LabDOH_NonRes","C_Female","C_Male","C_SexUnkn","C_AllResTypes","C_Age_0_4","C_Age_5_14","C_Age_15_24","C_Age_25_34","C_Age_35_44","C_Age_45_54","C_Age_55_64","C_Age_65_74","C_Age_75_84","C_Age_85plus","C_Age_Unkn","C_AgeRange","C_AgeMedian","C_RaceWhite","C_RaceBlack","C_RaceOther","C_RaceUnknown","C_HispanicYES","C_HispanicNO","C_HispanicUnk","C_EDYes_Res","C_EDYes_NonRes","C_HospYes_Res","C_HospYes_NonRes","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFLRes","T_total","T_negative","T_positive","Antibody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Metrics_WeekStart","Metrics_WeekEnd","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_DeltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,15796,215,213,1838,2924,2278,2257,2589,1919,922,575,66,"0 to 119",46,9084,6562,150,15522,274,0,252,15209,660,69,945,14845,6,0,15516,862,59,13,11,451,469,1,921,8,12,321,209,92,103,79,77,29,14,1,"0 to 103","30",340,189,182,210,200,506,215,160,6,92,5,0,12,945,481,463,921,24,0,36770,250,37974,37020,945,48,1255,0,1303,3.68,993,16100,17099,"6.5",2.5,6.3,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","10.5","13.6","24.1","45.5","%","%","%","%",53,9,12,166,97,17.6,10.3,1.3,863,11,82,1,24,4,1,0
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,905,30,16,100,134,124,148,149,104,66,32,2,"0 to 99",48,500,353,52,845,60,0,25,843,81,3,47,857,0,1,844,25,22,0,0,25,22,0,47,0,2,8,6,6,4,7,6,5,3,0,"10 to 97","47",33,12,2,0,1,45,1,12,0,12,0,0,4,47,22,25,47,0,0,1528,60,1635,1588,47,0,24,0,24,0,47,881,929,"3.3",2.8,5.2,"2020-06-14","2020-06-20","YES","NO","NO","YES","did not change","increased by","increased by","increased by","","25","1000","1689.9","","%","%","%",3,3,4,12,12,25.5,25.5,8.5,44,4,3,0,5,2,1,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,3381,38,35,236,423,460,559,641,454,293,187,55,"0 to 119",53,1893,1434,54,3338,43,0,108,3096,326,58,287,3038,0,56,3290,237,36,13,1,149,124,0,273,4,3,37,58,51,57,36,23,16,2,0,"1 to 93","43",216,29,14,14,76,172,25,83,4,32,2,2,4,287,130,157,273,14,0,6964,21,7276,6985,287,15,690,0,705,2.13,302,3728,4086,"2.2",3.8,8.9,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","83.3","61.5","266.7","266.3","%","%","%","%",7,0,6,87,34,30.3,11.8,2.1,248,4,39,0,7,0,0,0
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1496,21,28,122,192,173,224,290,190,146,103,7,"0 to 118",54,934,537,25,1494,2,0,31,1397,172,2,76,1419,0,1,1493,33,43,0,0,54,22,0,76,1,4,8,7,12,9,5,7,12,11,0,"1 to 107","50",58,15,3,0,6,69,1,13,0,13,0,0,2,76,22,54,76,0,0,2376,2,2456,2378,76,5,42,0,47,10.64,81,1461,1543,"5.7",3.2,5.4,"2020-06-14","2020-06-20","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","50","50","9","0.033962264","%","%","case","percent difference",4,2,2,13,13,17.1,17.1,2.6,73,2,3,0,7,0,0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,20146,267,369,1240,2009,2199,2804,4474,3971,2106,559,148,"0 to 119",57,11409,8630,107,20125,21,0,280,19227,1044,94,1297,18844,0,5,20120,1220,62,13,2,653,626,3,1282,21,41,257,254,204,176,174,95,44,31,0,"0 to 99","37",824,100,95,263,282,707,293,208,3,105,3,0,17,1297,632,662,1282,15,0,37909,6,39214,37915,1297,64,2606,1,2671,2.4,1361,21450,22817,"4",3.2,6.8,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","76.2","112.5","240.4","170","%","%","%","%",7,3,17,211,108,16.3,8.3,1.3,1149,17,148,0,50,7,0,0
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,100963,1521,1964,7225,14946,15498,17604,18773,12867,6835,3521,209,"0 to 119",50,54693,44725,1545,99413,1550,0,2727,88106,13631,1051,13320,87602,13,28,99375,11723,1314,258,25,6515,6517,5,13037,161,381,1663,2495,2246,2245,2002,1100,652,359,16,"0 to 102","43",6226,4223,1119,1469,4744,6966,1327,3267,70,1920,57,22,381,13320,6704,6611,13037,283,0,167143,1264,181802,168407,13320,1119,22405,3,23527,4.76,14439,110007,124490,"6.5",7,14.3,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","47.6","37.6","106.4","75.6","%","%","%","%",313,155,403,3337,1977,25.1,14.8,3,12584,379,736,2,492,75,14,0
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,551,5,4,44,51,81,76,93,85,72,39,1,"0 to 99",56,330,203,18,551,0,0,5,450,57,5,79,472,0,0,551,63,16,0,0,59,20,0,79,0,0,7,7,6,3,4,9,21,22,0,"19 to 99","77",56,10,0,13,1,57,21,11,0,7,0,0,6,79,20,59,79,0,0,705,0,787,705,79,0,14,0,14,0,79,486,565,"3.9",9.9,14.3,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","50","100","400","418.9","%","%","%","%",29,5,6,11,7,13.9,8.9,7.6,70,6,9,0,0,0,0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5600,63,52,269,469,537,771,1071,1065,747,550,6,"0 to 119",60,3291,2239,70,5581,19,0,184,4993,625,24,657,4939,1,3,5577,501,153,2,1,386,264,4,654,7,8,44,68,45,79,115,94,92,105,0,"0 to 101","62",532,57,16,49,44,546,64,114,1,142,1,0,76,657,266,387,654,3,0,10427,16,11103,10443,657,44,1425,0,1469,3,701,6364,7069,"4",5.6,12.5,"2020-06-14","2020-06-20","YES","NO","NO","YES","did not change","increased by","increased by","increased by","","33.3","25","56.9","","%","%","%",83,49,76,115,143,17.5,21.8,11.6,626,76,31,0,15,3,1,0
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4098,38,74,213,385,361,492,757,928,642,199,9,"0 to 222",61,2276,1625,197,4091,7,0,81,3599,320,27,240,3856,1,1,4090,152,88,0,0,117,123,0,240,2,4,28,27,16,42,54,35,20,12,0,"0 to 97","55",187,10,11,32,24,182,34,35,0,35,0,0,12,240,123,117,240,0,0,8819,6,9068,8825,240,21,743,0,764,2.75,261,4599,4862,"3.4",2.7,6.4,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","14.3","100","200","352.1","%","%","%","%",3,1,12,35,35,14.6,14.6,5,226,12,14,0,7,0,0,0
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,8384,121,210,651,974,1162,1370,1491,1314,761,309,21,"0 to 101",52,4840,3439,105,8363,21,0,152,7810,590,54,580,7798,1,5,8357,511,66,3,0,330,247,0,577,1,12,62,74,72,92,91,85,55,36,0,"0 to 100","52",306,108,57,106,56,400,121,149,0,101,0,0,34,580,248,332,577,3,0,15330,18,15933,15348,580,30,878,0,908,3.3,610,8676,9292,"4.5",3.6,7.3,"2020-06-14","2020-06-20","YES","NO","NO","YES","decreased by","decreased by","increased by","increased by","10","21.1","57.1","121.9","%","%","%","%",26,23,34,149,101,25.7,17.4,5.9,542,33,38,1,11,2,0,0
