OBJECTID_1,DEPCODE,FIPS,COUNTYNAME,County_1,County2,County3,State,CountyPopulation,NumPeopleTested,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRang,PUIAgeMedi,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRe,PUIFLResOu,PUIContNo,PUIContUnk,PUITravelN,PUITravelY,TPositive,TNegative,TInconc,TPending,T_Total_Re,T_LabPriva,T_LabDOH_R,T_LabPri_1,T_LabDOH_N,C_Female,C_Male,C_SexUnkn,C_AllResTy,C_Age_0_4,C_Age_5_14,C_Age_15_2,C_Age_25_3,C_Age_35_4,C_Age_45_5,C_Age_55_6,C_Age_65_7,C_Age_75_8,C_Age_85pl,C_Age_Unkn,C_AgeRange,C_AgeMedia,C_RaceWhit,C_RaceBlac,C_RaceOthe,C_RaceUnkn,C_Hispanic,C_Hispan_1,C_Hispan_2,C_EDYes_Re,C_EDYes_No,C_HospYesRES,C_HospYesNONRES,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFL,T_total,T_negative,T_positive,Anitbody_Positive,Antibody_Negative,Antibody_Inconclusive,Antibody_tested,Antibody_PctPos,Tests_AllSources,Postive_AllSources,Negative_Allsources,TestedPeople_AllSources,Percent_PopTest,Percent_PosTests,Percent_PositivePeople,Start,End,M_ILI,M_COVID,M_PosTests,M_PctPos,D_ILI,D_COVID,D_PosTests,D_PctPos,P_ILI,P_COVID,P_PosTests,P_PctPos,Text_ILI,Text_COVID,Text_PosTests,Text_PctPos,C_LTCF_Cases,C_LTCF_Deaths,ALL_DEATHS,ALL_ER,ALL_HOSPITAL,Perc_ER,Perc_Hosp,Perc_Died,Cases_Yesterday,Deaths_Yesterday,C_deltaCases,C_DeltaDeaths,C_Pediatric_Cases,C_Pedia_ER,C_Pedia_Hosp,C_PrisonDeaths
66,1,1,ALACHUA,Alachua,Alachua,Alachua County,FL,263148,15972,215,215,1922,2960,2307,2270,2595,1924,923,575,66,0 to 119,46,9169,6654,149,15698,274,0,263,15360,681,69,1124,14841,6,1,15691,1041,59,13,11,538,561,1,1100,8,14,403,250,120,117,85,82,30,14,1,0 to 103,29,376,215,202,307,208,574,318,163,6,93,5,0,12,1124,573,550,1100,24,0,39091,250,40475,39341,1124,48,1402,0,1450,3.31,41925,1172,16243,17422,6.6,2.8,7.3,6/21/2020,6/27/2020,NO,NO,NO,YES,increased by,increased by,increased by,increased by,27.3,100,170.9,84.6,%,%,%,%,53,10,12,169,98,16,9,1.1,1033,12,91,0,36,5,1,0
17,2,3,BAKER,Baker,Baker,Baker County,FL,27785,915,30,17,102,135,126,149,151,105,66,32,2,0 to 99,48,508,356,51,855,60,0,25,846,85,3,55,859,0,1,854,33,22,0,0,30,25,0,55,0,2,10,6,8,5,9,7,5,3,0,10 to 97,46,38,13,2,2,1,50,4,14,0,12,0,0,4,55,25,30,55,0,0,1612,60,1727,1672,55,0,33,0,33,0,1760,55,892,948,3.4,3.1,6,6/21/2020,6/27/2020,NO,NO,NO,YES,increased by,decreased by,increased by,increased by,250,20,77.8,4.9,%,%,%,%,3,3,4,14,12,26,22,7.3,51,4,4,0,5,2,1,0
15,3,5,BAY,Bay,Bay,Bay County,FL,182482,3425,38,35,244,442,467,565,645,454,293,187,55,0 to 119,53,1918,1453,54,3377,48,0,125,3111,358,63,322,3037,0,66,3320,268,36,17,1,164,140,0,304,4,4,44,70,56,64,39,23,16,2,0,1 to 93,41,232,35,19,18,82,188,34,86,6,33,2,2,4,322,148,174,304,18,0,7132,21,7482,7153,322,16,753,0,769,2.08,8251,338,3790,4194,2.3,4.1,9.9,6/21/2020,6/27/2020,NO,NO,NO,YES,increased by,decreased by,increased by,increased by,100,14.3,184.1,121.5,%,%,%,%,7,0,6,92,35,29,11,1.9,305,4,17,0,11,0,0,0
40,4,7,BRADFORD,Bradford,Bradford,Bradford County,FL,26979,1504,21,28,124,194,175,225,291,190,146,103,7,0 to 118,54,940,539,25,1502,2,0,32,1400,173,2,82,1421,0,1,1501,39,43,0,0,60,22,0,82,1,4,10,8,13,10,6,7,12,11,0,1 to 107,50,61,16,3,2,6,72,4,13,0,13,0,0,2,82,22,60,82,0,0,2491,2,2578,2493,82,5,48,0,53,9.43,2631,87,1469,1557,5.8,3.3,5.8,6/21/2020,6/27/2020,YES,YES,NO,YES,decreased by,decreased by,increased by,increased by,33.3,75,133.3,30.3,%,%,%,%,4,2,2,13,13,16,16,2.4,80,2,2,0,6,0,0,0
42,5,9,BREVARD,Brevard,Brevard,Brevard County,FL,576808,20484,268,377,1326,2085,2257,2858,4505,3990,2111,559,148,0 to 119,57,11581,8799,104,20462,22,0,316,19486,1203,99,1631,18850,0,3,20459,1553,62,14,2,820,793,2,1615,24,46,342,330,262,231,205,112,47,32,0,0 to 99,37,952,113,102,448,312,842,461,219,3,108,3,0,17,1631,800,829,1615,16,0,40827,6,42468,40833,1631,72,2983,1,3056,2.36,45524,1703,21833,23540,4.1,3.7,8.3,6/21/2020,6/27/2020,NO,NO,NO,YES,increased by,increased by,increased by,increased by,64.9,19.3,161.3,40.1,%,%,%,%,7,3,17,222,111,14,7,1,1547,17,84,0,92,12,1,0
62,6,11,BROWARD,Broward,Broward,Broward County,FL,1909151,102500,1604,2097,7476,15280,15763,17811,18919,12943,6864,3535,208,0 to 119,50,55557,45431,1512,100929,1571,0,2883,88838,14448,1055,14620,87841,13,26,100893,13003,1313,279,25,7227,7080,9,14316,189,433,1898,2816,2473,2433,2139,1167,682,375,15,0 to 102,42,6659,4570,1185,1902,5105,7578,1633,3369,71,1952,58,22,382,14620,7280,7331,14316,304,0,174690,1263,190652,175953,14620,1212,25784,4,27000,4.49,217652,15832,113625,129500,6.8,7.3,15.4,6/21/2020,6/27/2020,NO,NO,NO,YES,increased by,increased by,increased by,increased by,64.7,44.2,57.8,16.3,%,%,%,%,313,159,404,3440,2010,24,14,2.8,14046,382,574,0,870,109,19,0
5,7,13,CALHOUN,Calhoun,Calhoun,Calhoun County,FL,14444,551,5,4,45,52,82,75,93,83,72,39,1,0 to 99,56,331,204,16,551,0,0,5,446,58,5,76,474,0,1,550,60,16,0,0,57,19,0,76,0,0,7,7,6,2,4,7,21,21,1,20 to 99,77,52,10,2,12,1,58,17,11,0,7,0,0,6,76,19,57,76,0,0,782,0,860,782,76,1,24,0,25,4,885,77,498,576,4,8.7,14,6/21/2020,6/27/2020,NO,NO,NO,YES,increased by,decreased by,increased by,decreased by,33.3,66.7,40,67.6,%,%,%,%,29,6,6,11,7,15,10,7.9,72,6,4,0,0,0,0,0
56,8,15,CHARLOTTE,Charlotte,Charlotte,Charlotte County,FL,176954,5652,64,53,273,475,543,783,1082,1074,749,550,6,0 to 119,60,3322,2261,69,5633,19,0,195,5013,660,25,714,4934,1,3,5629,558,153,2,1,415,292,4,711,8,9,48,75,54,91,126,103,94,106,0,0 to 101,61,562,58,17,74,47,573,91,118,1,143,1,0,76,714,294,416,711,3,0,11173,16,11907,11189,714,47,1571,0,1618,2.9,13525,761,6505,7270,4.1,5.6,13.5,6/21/2020,6/27/2020,NO,NO,NO,YES,increased by,increased by,increased by,increased by,550,100,140.4,58.2,%,%,%,%,83,49,76,119,144,17,21,10.6,687,76,27,0,21,2,0,0
32,9,17,CITRUS,Citrus,Citrus,Citrus County,FL,143087,4153,38,76,222,392,372,501,765,935,645,199,8,0 to 222,61,2309,1652,192,4146,7,0,86,3616,344,28,277,3873,1,2,4144,189,88,0,0,134,142,1,277,2,5,34,31,24,48,60,40,21,12,0,0 to 97,53,217,13,13,34,26,214,37,36,0,36,0,0,12,277,142,134,277,0,0,9341,6,9627,9347,277,24,847,0,871,2.76,10498,301,4720,5024,3.5,2.9,7.2,6/21/2020,6/27/2020,NO,NO,NO,YES,increased by,increased by,increased by,increased by,237.5,54.5,97.8,17.8,%,%,%,%,3,1,12,36,36,13,13,4.3,264,12,13,0,12,0,0,0
22,10,19,CLAY,Clay,Clay,Clay County,FL,207291,8467,121,211,666,994,1180,1387,1498,1317,761,311,21,0 to 101,52,4890,3476,101,8446,21,0,162,7871,614,56,659,7802,1,5,8440,590,66,3,0,371,285,0,656,1,13,77,94,90,106,98,87,55,38,0,0 to 100,50,337,127,61,131,61,445,150,153,0,102,0,0,34,659,286,373,656,3,0,16021,18,16702,16039,659,37,1028,0,1065,3.47,17767,696,8830,9532,4.6,3.9,8.2,6/21/2020,6/27/2020,NO,NO,NO,YES,increased by,increased by,increased by,increased by,200,163.2,222.6,90.4,%,%,%,%,26,24,34,153,102,24,16,5.2,616,34,43,0,21,3,1,0
