"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,16331,219,234,2052,3052,2337,2302,2620,1937,930,582,66,"0 to 119",46,9365,6818,148,16052,279,0,294,15622,765,72,1506,14819,6,0,16046,1408,69,18,11,738,736,3,1477,11,33,536,350,152,151,117,98,37,20,1,"0 to 118","29",531,288,245,413,256,778,443,176,6,96,5,0,12,1506,752,751,1477,29,0,42923,250,44691,43173,1506,48,1402,0,1450,3.31,46141,1554,16221,17781,"6.8",3.4,9.5,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","27.3","100","170.9","84.6","%","%","%","%",68,10,12,182,101,13,7,0.8,1423,12,83,0,66,5,1,0
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,961,30,17,109,145,134,157,158,108,69,32,2,"0 to 99",48,521,389,51,901,60,0,47,851,123,5,98,862,0,1,900,58,40,0,0,42,56,0,98,0,2,16,15,15,14,16,9,8,3,0,"10 to 97","46",73,16,5,4,1,88,9,25,0,18,0,0,4,98,56,42,98,0,0,1836,60,1994,1896,98,0,33,0,33,0,2027,98,895,994,"3.6",4.8,10.2,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","250","20","77.8","4.9","%","%","%","%",3,3,4,25,18,26,19,4.1,84,4,14,0,5,2,1,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,3699,45,47,307,499,521,599,676,469,294,187,55,"0 to 119",51,2064,1581,54,3647,52,0,184,3243,574,72,684,3012,0,3,3644,593,58,32,1,351,300,0,651,12,16,125,150,128,107,82,42,19,3,0,"0 to 93","37",434,73,36,108,129,387,135,106,6,37,2,2,5,684,321,363,651,33,0,8042,21,8759,8063,684,16,753,0,769,2.08,9528,700,3765,4468,"2.4",7.3,18.9,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","100","14.3","184.1","121.5","%","%","%","%",23,0,7,112,39,17,6,1,625,5,59,0,40,0,0,0
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1520,23,30,127,199,176,225,294,190,146,103,7,"0 to 118",53,947,549,24,1518,2,0,33,1400,188,2,94,1425,0,1,1517,48,46,0,0,64,30,0,94,1,5,12,14,14,10,8,7,12,11,0,"1 to 107","46",69,21,3,1,6,85,3,15,0,13,0,0,2,94,30,64,94,0,0,2672,2,2770,2674,94,5,48,0,53,9.43,2823,99,1473,1573,"5.8",3.5,6.5,"2020-06-21","2020-06-27","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","33.3","75","133.3","30.3","%","%","%","%",3,2,2,15,13,16,14,2.1,92,2,2,0,7,0,0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,21316,276,397,1508,2290,2376,2964,4609,4034,2139,575,148,"0 to 119",56,11994,9218,104,21293,23,0,491,19963,1676,108,2453,18860,0,3,21290,2367,69,14,3,1232,1199,5,2436,29,64,531,536,381,335,302,151,75,49,0,"0 to 99","36",1403,156,157,720,402,1323,711,262,3,127,3,0,19,2453,1206,1242,2436,17,0,48535,6,51002,48541,2453,72,2983,1,3056,2.36,54058,2525,21843,24372,"4.2",4.7,11.8,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","64.9","19.3","161.3","40.1","%","%","%","%",14,3,19,265,130,11,6,0.8,2366,18,87,1,131,13,1,0
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,108232,1848,2497,8387,16498,16789,18633,19557,13231,7004,3586,202,"0 to 119",49,58512,48243,1477,106632,1600,0,3623,91293,17558,1090,19575,88599,14,44,106577,17749,1491,308,27,9714,9485,41,19240,287,641,2703,4001,3415,3171,2723,1413,800,414,7,"0 to 102","40",8493,5756,1550,3441,6799,9304,3137,4058,74,2241,60,22,409,19575,9702,9832,19240,335,0,196686,1262,217627,197948,19575,1212,25784,4,27000,4.49,244627,20787,114383,135232,"7.1",8.5,19.2,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","64.7","44.2","57.8","16.3","%","%","%","%",353,157,431,4132,2301,22,12,2.2,18229,406,1346,3,1293,170,25,0
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,568,5,4,46,56,82,81,97,86,72,39,0,"0 to 99",56,342,210,16,568,0,0,8,447,76,5,93,475,0,0,568,77,16,0,0,65,28,0,93,0,0,9,11,7,6,8,10,21,21,0,"15 to 99","71",67,12,6,8,8,71,14,14,0,8,0,0,6,93,28,65,93,0,0,864,0,959,864,93,1,24,0,25,4,984,94,499,593,"4.1",9.6,16.5,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","decreased by","increased by","decreased by","33.3","66.7","40","67.6","%","%","%","%",29,6,6,14,8,16,9,6.5,97,6,-4,0,1,0,0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5826,65,53,299,493,568,805,1114,1107,758,558,6,"0 to 119",60,3400,2360,66,5807,19,0,242,5087,767,28,887,4932,1,6,5800,719,165,2,1,495,385,4,884,9,9,76,92,80,110,157,135,104,115,0,"0 to 101","60",684,68,17,115,62,678,144,134,1,153,1,0,76,887,387,496,884,3,0,12333,16,13240,12349,887,47,1571,0,1618,2.9,14858,934,6503,7444,"4.2",6.3,16,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","550","100","140.4","58.2","%","%","%","%",108,49,76,135,154,16,18,8.6,860,76,27,0,26,2,0,0
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4305,42,85,241,421,392,514,793,957,651,201,8,"0 to 222",60,2396,1722,187,4298,7,0,87,3640,434,30,372,3930,1,2,4296,232,140,0,0,184,188,0,372,4,12,44,49,37,53,81,53,27,12,0,"0 to 97","53",289,19,20,44,32,292,48,44,0,41,0,0,13,372,188,184,372,0,0,10230,6,10612,10236,372,24,847,0,871,2.76,11483,396,4777,5176,"3.6",3.4,9.2,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","237.5","54.5","97.8","17.8","%","%","%","%",4,1,13,44,41,12,12,3.5,364,13,8,0,23,1,0,0
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,8753,125,224,712,1033,1233,1450,1529,1343,767,315,22,"0 to 101",52,5032,3617,104,8731,22,0,205,8043,716,61,936,7816,1,0,8730,856,76,4,0,516,414,2,932,5,23,116,135,144,168,134,108,60,42,1,"0 to 100","48",442,170,76,244,83,580,269,170,0,110,0,0,34,936,416,518,932,4,0,17743,18,18709,17761,936,37,1028,0,1065,3.47,19774,973,8844,9818,"4.7",4.9,11.1,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","200","163.2","222.6","90.4","%","%","%","%",23,23,34,170,110,19,12,3.6,871,34,65,0,39,4,1,0
