OBJECTID_1,DEPCODE,FIPS,COUNTYNAME,County_1,County2,County3,State,CountyPopulation,NumPeopleTested,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRang,PUIAgeMedi,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRe,PUIFLResOu,PUIContNo,PUIContUnk,PUITravelN,PUITravelY,TPositive,TNegative,TInconc,TPending,T_Total_Re,T_LabPriva,T_LabDOH_R,T_LabPri_1,T_LabDOH_N,C_Female,C_Male,C_SexUnkn,C_AllResTy,C_Age_0_4,C_Age_5_14,C_Age_15_2,C_Age_25_3,C_Age_35_4,C_Age_45_5,C_Age_55_6,C_Age_65_7,C_Age_75_8,C_Age_85pl,C_Age_Unkn,C_AgeRange,C_AgeMedia,C_RaceWhit,C_RaceBlac,C_RaceOthe,C_RaceUnkn,C_Hispanic,C_Hispan_1,C_Hispan_2,C_EDYes_Re,C_EDYes_No,C_HospYesRES,C_HospYesNONRES,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFL,T_total,T_negative,T_positive,Anitbody_Positive,Antibody_Negative,Antibody_Inconclusive,Antibody_tested,Antibody_PctPos,Tests_AllSources,Postive_AllSources,Negative_Allsources,TestedPeople_AllSources,Percent_PopTest,Percent_PosTests,Percent_PositivePeople,Start,End,M_ILI,M_COVID,M_PosTests,M_PctPos,D_ILI,D_COVID,D_PosTests,D_PctPos,P_ILI,P_COVID,P_PosTests,P_PctPos,Text_ILI,Text_COVID,Text_PosTests,Text_PctPos,C_LTCF_Cases,C_LTCF_Deaths,ALL_DEATHS,ALL_ER,ALL_HOSPITAL,Perc_ER,Perc_Hosp,Perc_Died,Cases_Yesterday,Deaths_Yesterday,C_deltaCases,C_DeltaDeaths,C_Pediatric_Cases,C_Pedia_ER,C_Pedia_Hosp,C_PrisonDeaths,C_Delta2
66,1,1,ALACHUA,Alachua,Alachua,Alachua County,FL,263148,16833,224,248,2203,3183,2397,2360,2668,1957,938,588,67,0 to 119,45,9634,7051,148,16543,290,0,348,16022,853,77,2043,14784,6,0,16537,1926,77,29,11,1019,978,6,2003,14,47,695,486,216,219,170,123,45,26,2,0 to 103,29,682,429,288,604,301,1048,654,192,7,102,5,0,12,2043,1001,1036,2003,40,0,47413,249,49717,47662,2043,55,1677,0,1732,3.18,51449,2098,16461,18565,7.1,4.1,12.5,6/28/2020 5:00,7/4/2020 5:00,NO,NO,NO,YES,increased by,increased by,increased by,increased by,17.2,2,9.3,30.5,%,%,%,%,73,10,12,199,107,10,6,0.6,1978,12,65,0,91,5,1,0,7
17,2,3,BAKER,Baker,Baker,Baker County,FL,27785,1026,34,20,123,152,146,164,165,113,75,32,2,0 to 99,47,553,420,53,966,60,0,65,864,172,5,151,869,0,6,960,103,48,0,0,64,84,3,151,2,4,25,22,26,19,23,13,14,3,0,1 to 97,43,103,29,8,11,3,120,28,29,0,20,0,0,4,151,84,64,151,0,0,2736,60,2947,2796,151,0,50,0,50,0,2997,151,919,1076,3.9,5,14.7,6/28/2020 5:00,7/4/2020 5:00,NO,NO,NO,NO,decreased by,increased by,increased by,increased by,100,14.3,150,99.6,%,%,%,%,1,3,4,29,20,20,14,2.6,135,4,16,0,10,2,1,0,7
15,3,5,BAY,Bay,Bay,Bay County,FL,182482,4122,49,52,368,594,593,673,729,504,312,192,56,0 to 119,50,2298,1770,54,4064,58,0,250,3490,791,86,1110,3010,0,2,4062,958,110,37,2,575,490,3,1068,15,21,186,246,197,183,134,78,36,10,1,0 to 95,38,654,138,59,217,157,649,262,145,7,51,2,3,8,1107,514,590,1068,39,0,9627,21,10778,9648,1107,17,907,0,924,1.84,11702,1124,3917,5046,2.8,9.6,27.3,6/28/2020 5:00,7/4/2020 5:00,NO,NO,NO,NO,increased by,increased by,increased by,increased by,68.2,12.1,80.2,43.9,%,%,%,%,28,0,11,152,53,14,5,1,1027,5,80,3,56,2,1,0,20
40,4,7,BRADFORD,Bradford,Bradford,Bradford County,FL,26979,1555,23,32,132,201,185,233,299,192,149,103,6,0 to 118,53,970,562,23,1553,2,0,45,1401,216,2,130,1424,0,1,1552,77,53,0,0,83,47,0,130,1,7,15,16,24,21,12,8,15,11,0,1 to 107,46,89,34,4,3,6,119,5,23,0,15,0,0,2,130,47,83,130,0,0,2963,2,3098,2965,130,7,68,0,75,9.33,3173,137,1492,1630,6,4.3,8.8,6/28/2020 5:00,7/4/2020 5:00,NO,NO,NO,YES,increased by,increased by,decreased by,decreased by,250,800,45.5,15.7,%,%,%,%,106,2,2,23,15,18,12,1.5,119,2,11,0,9,0,0,0,4
42,5,9,BREVARD,Brevard,Brevard,Brevard County,FL,576808,22122,287,416,1642,2434,2487,3093,4721,4113,2177,604,148,0 to 119,56,12410,9608,104,22099,23,0,718,20389,2238,123,3242,18872,0,8,22091,3143,77,14,3,1637,1574,9,3220,38,82,665,676,491,463,406,227,113,75,1,0 to 99,37,1733,213,230,1044,496,1635,1089,382,4,186,3,0,28,3237,1581,1647,3220,17,0,55145,6,58432,55151,3237,92,3833,1,3926,2.34,62358,3329,22705,26048,4.5,5.3,15,6/28/2020 5:00,7/4/2020 5:00,NO,NO,NO,YES,increased by,increased by,increased by,decreased by,6.2,23.4,13.1,3.1,%,%,%,%,50,4,28,386,189,12,6,0.9,3104,27,133,1,184,20,3,0,3
62,6,11,BROWARD,Broward,Broward,Broward County,FL,1909151,117696,2315,3160,9856,18346,18411,20134,20649,13724,7221,3670,210,0 to 119,48,63427,52734,1535,116071,1625,0,4566,96793,21404,1125,28255,89369,19,53,116002,26161,1726,339,27,14135,13626,126,27887,513,1144,4085,5795,4982,4588,3745,1866,1016,505,14,0 to 119,39,11296,7794,2005,6792,9419,12064,6404,4706,79,2505,62,23,455,28253,13866,14261,27887,366,0,230335,1249,260002,231584,28253,1462,32983,7,34452,4.24,294454,29715,122352,152148,8,10.1,25.2,6/28/2020 5:00,7/4/2020 5:00,NO,NO,NO,NO,increased by,increased by,increased by,increased by,45.4,25.7,95.5,52,%,%,%,%,423,169,478,4785,2567,17,10,1.7,26705,438,1548,17,2283,224,28,0,220
5,7,13,CALHOUN,Calhoun,Calhoun,Calhoun County,FL,14444,639,8,9,54,68,91,88,116,92,74,39,0,0 to 99,55,379,244,16,639,0,0,12,464,125,7,152,486,0,1,638,136,16,0,0,97,53,2,152,1,3,17,20,14,14,23,16,23,21,0,1 to 99,57,111,16,9,16,10,119,23,21,0,14,0,0,7,152,53,97,152,0,0,1057,0,1214,1057,152,0,26,0,26,0,1240,152,512,665,4.6,12.3,23.8,6/28/2020 5:00,7/4/2020 5:00,NO,NO,NO,NO,decreased by,increased by,increased by,increased by,50,100,360,582.4,%,%,%,%,18,6,7,21,14,14,10,4.6,133,7,19,0,7,0,0,0,6
56,8,15,CHARLOTTE,Charlotte,Charlotte,Charlotte County,FL,176954,6012,69,60,318,520,586,840,1145,1125,776,564,9,0 to 119,60,3487,2453,72,5992,20,0,303,5151,886,30,1075,4928,1,8,5983,895,175,3,1,571,485,14,1070,12,16,97,118,97,142,190,155,122,122,3,0 to 101,58,805,74,26,165,73,806,191,150,1,167,1,0,78,1074,486,573,1070,4,0,14046,16,15144,14062,1074,58,1907,0,1965,2.95,17109,1132,6835,7977,4.5,6.6,18.8,6/28/2020 5:00,7/4/2020 5:00,NO,NO,NO,NO,decreased by,increased by,increased by,increased by,15.4,20.8,73.6,70.8,%,%,%,%,120,50,78,151,168,15,16,7.3,1048,78,26,0,40,2,0,0,4
32,9,17,CITRUS,Citrus,Citrus,Citrus County,FL,143087,4514,55,92,274,455,417,543,830,972,660,208,8,0 to 222,60,2514,1824,176,4507,7,0,134,3681,551,34,523,3985,1,5,4502,341,182,0,0,261,259,3,523,6,16,69,74,58,74,108,63,36,19,0,0 to 97,50,394,33,37,59,37,411,75,50,0,60,0,0,14,523,259,261,523,0,0,11816,6,12349,11822,523,29,1044,0,1073,2.7,13422,552,5029,5587,3.9,4.1,12.2,6/28/2020 5:00,7/4/2020 5:00,NO,NO,NO,YES,increased by,increased by,increased by,increased by,33.3,4.5,18.4,26.8,%,%,%,%,5,1,14,50,60,10,12,2.7,500,13,23,1,33,1,0,0,9
22,10,19,CLAY,Clay,Clay,Clay County,FL,207291,9253,149,246,796,1145,1304,1522,1593,1377,780,319,22,0 to 101,51,5272,3859,122,9231,22,0,292,8297,884,68,1403,7838,1,11,9219,1309,90,4,0,746,649,4,1399,10,41,197,245,215,239,195,142,72,46,1,0 to 100,44,632,246,106,415,124,818,457,195,0,120,0,0,36,1403,651,748,1399,4,0,19829,18,21262,19847,1403,48,1332,0,1380,3.48,22642,1451,9170,10633,5.1,6.4,15.7,6/28/2020 5:00,7/4/2020 5:00,NO,NO,NO,NO,increased by,increased by,increased by,increased by,81.5,26.4,89,70,%,%,%,%,31,24,36,195,120,14,9,2.6,1328,35,75,1,70,6,1,0,2
