"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,16891,225,248,2222,3198,2402,2366,2674,1961,938,590,67,"0 to 119",45,9668,7075,148,16601,290,0,348,16078,854,77,2098,14787,6,0,16595,1981,77,29,11,1051,1001,6,2058,15,47,713,500,221,225,176,127,45,27,2,"0 to 103","29",693,447,292,626,306,1069,683,192,7,103,5,0,12,2098,1024,1068,2058,40,0,48592,248,50950,48840,2098,55,1677,0,1732,3.18,52682,2153,16464,18623,"7.1",4.1,12.7,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","decreased by","18.9","21.7","13.5","8.1","%","%","%","%",73,10,12,199,108,10,6,0.6,2043,12,55,0,92,5,1,0,"8"
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,1037,34,20,125,154,147,167,168,113,75,32,2,"0 to 99",47,562,421,54,977,60,0,65,871,195,5,162,868,0,7,970,105,57,0,0,73,85,4,162,2,4,27,24,26,22,27,13,14,3,0,"1 to 97","44",105,32,7,18,3,127,32,29,0,20,0,0,4,162,85,73,162,0,0,2871,59,3092,2930,162,0,50,0,50,0,3142,162,918,1087,"3.9",5.2,15.6,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","decreased by","increased by","decreased by","4","37.5","20.8","65.6"," cases","%","%","%",1,3,4,29,20,18,13,2.5,151,4,11,0,10,2,1,0,"7"
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,4207,49,53,386,610,607,692,737,508,314,195,56,"0 to 119",50,2341,1813,53,4149,58,0,250,3563,845,87,1196,3009,0,2,4147,1044,110,37,2,620,532,2,1154,16,22,204,263,211,201,142,82,38,13,1,"0 to 95","38",685,143,59,267,159,681,314,149,7,52,2,3,8,1193,556,635,1154,39,0,9825,22,11064,9847,1193,17,907,0,924,1.84,11988,1210,3916,5131,"2.8",10.1,28.8,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","decreased by","8.1","1.7","56.2","0.7","%","%","%","%",28,0,11,156,54,14,5,0.9,1107,8,86,0,62,2,1,0,"20"
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1560,23,32,135,201,186,233,299,192,150,103,6,"0 to 118",53,979,558,23,1558,2,0,49,1392,226,2,133,1426,0,1,1557,78,55,0,0,85,48,0,133,1,7,17,16,25,21,11,8,16,11,0,"1 to 107","45",91,37,4,1,6,126,1,23,0,15,0,0,2,133,48,85,133,0,0,2999,2,3137,3001,133,7,68,0,75,9.33,3212,140,1494,1635,"6.1",4.4,9,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","did not change","increased by","increased by","14.3","","225","46.9","%","","%","%",3,2,2,23,15,18,12,1.5,130,2,3,0,10,0,0,0,"4"
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,22251,287,421,1671,2451,2507,3104,4735,4125,2186,616,148,"0 to 119",56,12493,9653,105,22228,23,0,743,20471,2397,124,3371,18875,0,5,22223,3275,77,14,3,1721,1621,10,3352,38,88,694,692,511,473,420,241,123,88,1,"0 to 101","37",1790,234,238,1090,510,1704,1138,402,4,199,3,0,29,3369,1628,1731,3352,17,0,56124,6,59549,56130,3369,92,3833,1,3926,2.34,63475,3461,22708,26177,"4.5",5.5,15.6,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","39.4","18.2","3.5","1","%","%","%","%",76,4,29,406,202,13,6,0.9,3237,28,132,1,195,20,3,0,"3"
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,119622,2405,3281,10141,18740,18757,20416,20906,13828,7258,3681,209,"0 to 119",48,64421,53673,1528,117988,1634,0,4680,98173,21946,1133,30027,89526,20,49,117922,27879,1771,348,27,15039,14477,134,29650,557,1245,4361,6169,5317,4850,3978,1965,1050,519,14,"0 to 119","39",11745,8208,2088,7609,9904,12500,7246,4779,79,2535,62,23,464,30025,14723,15168,29650,375,0,238657,1240,270131,239897,30025,1462,32983,7,34452,4.24,304583,31487,122509,154074,"8.1",10.3,26.3,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","12.3","0.5","34.4","3.7","%","%","%","%",437,169,487,4858,2597,17,9,1.6,28253,455,1772,9,2468,231,29,0,"221"
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,666,8,9,56,70,94,94,118,94,81,42,0,"0 to 99",55,398,255,13,666,0,0,12,480,133,7,174,491,0,1,665,158,16,0,0,112,62,0,174,1,3,19,21,15,17,26,18,30,24,0,"1 to 99","60",122,21,9,22,10,130,34,21,0,14,0,0,7,174,62,112,174,0,0,1082,0,1261,1082,174,0,26,0,26,0,1287,174,517,692,"4.8",13.5,26.1,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","did not change","increased by","increased by","200","","250","39.6","%","","%","%",18,6,7,21,14,13,9,4,152,7,22,0,7,0,0,0,"6"
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,6057,69,60,327,526,593,848,1153,1129,778,565,9,"0 to 119",60,3512,2475,70,6036,21,0,311,5178,904,30,1118,4929,1,9,6026,936,176,4,1,592,506,14,1112,12,16,105,124,104,149,198,159,124,123,3,"0 to 101","57",816,75,28,193,76,815,221,152,1,169,1,0,79,1117,507,595,1112,5,0,14677,16,15821,14693,1117,58,1907,0,1965,2.95,17786,1175,6836,8022,"4.5",6.6,19.4,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","decreased by","decreased by","decreased by","109.1","22","11.7","50.5","%","%","%","%",122,50,79,153,170,14,16,7.1,1074,78,43,1,40,2,0,0,"4"
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4542,56,92,281,458,423,548,835,974,660,207,8,"0 to 222",60,2529,1838,175,4534,8,0,136,3696,573,35,546,3988,1,7,4527,361,184,1,0,271,272,2,545,6,16,73,76,63,80,113,65,36,18,0,"0 to 97","50",405,36,39,65,38,425,82,52,0,61,0,0,14,546,272,272,545,1,0,12005,6,12565,12011,546,29,1044,0,1073,2.7,13638,575,5032,5615,"3.9",4.2,12.7,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","decreased by","30.6","14.3","56.6","13.2","%","%","%","%",5,1,14,52,61,10,12,2.6,523,14,23,0,33,1,0,0,"9"
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,9388,162,256,820,1160,1325,1543,1609,1386,784,320,23,"0 to 101",51,5357,3912,119,9366,22,0,318,8323,949,70,1508,7869,1,10,9355,1414,90,4,0,809,691,4,1504,13,47,216,258,231,258,206,152,77,48,2,"0 to 100","44",667,261,112,464,132,863,509,214,0,123,0,0,36,1508,693,811,1504,4,0,21102,18,22641,21120,1508,48,1332,0,1380,3.48,24021,1556,9201,10768,"5.2",6.5,16.6,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","decreased by","26","29.6","53.6","0.9","%","%","%","%",44,24,36,214,123,15,9,2.4,1403,36,105,0,81,7,1,0,"3"
