OBJECTID_1,DEPCODE,FIPS,COUNTYNAME,County_1,County2,County3,State,CountyPopulation,NumPeopleTested,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRang,PUIAgeMedi,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRe,PUIFLResOu,PUIContNo,PUIContUnk,PUITravelN,PUITravelY,TPositive,TNegative,TInconc,TPending,T_Total_Re,T_LabPriva,T_LabDOH_R,T_LabPri_1,T_LabDOH_N,C_Female,C_Male,C_SexUnkn,C_AllResTy,C_Age_0_4,C_Age_5_14,C_Age_15_2,C_Age_25_3,C_Age_35_4,C_Age_45_5,C_Age_55_6,C_Age_65_7,C_Age_75_8,C_Age_85pl,C_Age_Unkn,C_AgeRange,C_AgeMedia,C_RaceWhit,C_RaceBlac,C_RaceOthe,C_RaceUnkn,C_Hispanic,C_Hispan_1,C_Hispan_2,C_EDYes_Re,C_EDYes_No,C_HospYesRES,C_HospYesNONRES,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFL,T_total,T_negative,T_positive,Anitbody_Positive,Antibody_Negative,Antibody_Inconclusive,Antibody_tested,Antibody_PctPos,Tests_AllSources,Postive_AllSources,Negative_Allsources,TestedPeople_AllSources,Percent_PopTest,Percent_PosTests,Percent_PositivePeople,Start,End,M_ILI,M_COVID,M_PosTests,M_PctPos,D_ILI,D_COVID,D_PosTests,D_PctPos,P_ILI,P_COVID,P_PosTests,P_PctPos,Text_ILI,Text_COVID,Text_PosTests,Text_PctPos,C_LTCF_Cases,C_LTCF_Deaths,ALL_DEATHS,ALL_ER,ALL_HOSPITAL,Perc_ER,Perc_Hosp,Perc_Died,Cases_Yesterday,Deaths_Yesterday,C_deltaCases,C_DeltaDeaths,C_Pediatric_Cases,C_Pedia_ER,C_Pedia_Hosp,C_PrisonDeaths,C_Delta2,C_Trend1,C_Trend2
66,1,1,ALACHUA,Alachua,Alachua,Alachua County,FL,263148,17036,230,254,2253,3234,2424,2386,2684,1971,941,592,67,0 to 119,45,3,9744,7146,143,16744,292,0,365,492,16064,17036,2258,14772,6,0,16738,2138,77,32,11,3,1135,1075,19,53,746,538,244,247,191,141,49,28,2,0 to 103,29,751,502,307,655,327,1172,716,193,7,104,5,0,12,2258,1100,1153,2215,43,0,49865,247,52384,50112,2258,55,1677,0,1732,3.18,54116,2313,3935,35804,13.6,4.3,13.6,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,YES,increased by,increased by,increased by,decreased by,18.9,21.7,13.5,8.1,%,%,%,%,75,10,12,200,109,9,5,0.5,2173,12,85,0,104,5,1,0,18,9,0
17,2,3,BAKER,Baker,Baker,Baker County,FL,27785,1057,34,22,126,159,152,170,171,113,76,32,2,0 to 99,47,1,571,432,53,997,60,0,69,127,838,1048,180,868,0,9,988,121,59,0,0,1,80,96,2,6,29,28,29,27,28,13,15,3,0,1 to 97,43,119,34,6,21,3,145,32,29,0,20,0,0,4,180,96,80,180,0,0,2959,58,3197,3017,180,0,50,0,50,0,3247,180,230,2146,7.7,5.5,17,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,increased by,decreased by,increased by,decreased by,4,37.5,20.8,65.6, cases,%,%,%,1,3,4,29,20,17,12,2.2,175,4,5,0,12,2,1,0,10,1,0
15,3,5,BAY,Bay,Bay,Bay County,FL,182482,4445,53,60,436,652,640,727,771,531,323,196,56,0 to 119,49,3,2474,1917,51,4384,61,0,263,425,3417,4443,1431,3012,0,2,4382,1269,119,40,2,3,751,633,19,28,255,304,246,232,178,105,47,15,1,0 to 96,38,789,163,66,370,166,793,429,157,7,54,2,3,8,1430,659,767,1388,42,0,11590,22,13068,11612,1430,17,907,0,924,1.84,13992,1447,2338,9810,5.4,10.3,32.6,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,decreased by,decreased by,increased by,decreased by,8.1,1.7,56.2,0.7,%,%,%,%,30,0,11,164,56,12,4,0.8,1322,8,108,0,77,2,1,0,20,5,4
40,4,7,BRADFORD,Bradford,Bradford,Bradford County,FL,26979,1570,23,32,138,202,186,235,301,193,151,103,6,0 to 118,53,0,985,562,23,1568,2,0,52,128,1331,1569,145,1424,0,1,1567,89,56,0,0,0,91,54,1,7,19,17,25,24,14,9,17,12,0,1 to 107,47,96,41,4,4,6,135,4,25,0,18,0,0,2,145,54,91,145,0,0,3079,2,3229,3081,145,7,68,0,75,9.33,3304,152,213,3213,11.9,4.6,9.7,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,YES,increased by,did not change,increased by,increased by,14.3,,225,46.9,%,,%,%,3,2,2,25,18,18,13,1.4,144,2,1,0,11,0,0,0,5,0,0
42,5,9,BREVARD,Brevard,Brevard,Brevard County,FL,576808,22507,288,424,1722,2503,2537,3142,4765,4153,2200,624,149,0 to 119,56,8,12626,9770,103,22484,23,0,807,1095,19828,22500,3634,18866,0,7,22477,3533,82,14,3,8,1857,1741,40,91,747,747,542,511,448,270,137,97,2,0 to 101,38,1890,265,263,1197,529,1825,1261,440,4,224,3,0,34,3632,1748,1867,3615,17,0,58346,6,62046,58352,3632,92,3833,1,3926,2.34,65972,3724,7467,48926,8.5,5.6,16.5,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,YES,increased by,increased by,decreased by,decreased by,39.4,18.2,3.5,1,%,%,%,%,98,4,34,444,227,13,7,0.9,3510,29,122,5,210,20,4,0,3,6,14
62,6,11,BROWARD,Broward,Broward,Broward County,FL,1909151,122421,2544,3465,10582,19301,19231,20827,21228,14011,7319,3699,214,0 to 119,48,97,65882,55011,1431,120775,1646,0,4809,17411,98624,122370,32816,89534,20,51,120707,30596,1831,359,28,95,16488,15781,629,1393,4787,6753,5786,5292,4328,2160,1122,545,19,0 to 119,39,12379,8773,2219,9056,10538,13142,8747,4889,79,2572,62,23,464,32814,16031,16625,32427,387,0,249448,1231,283743,250679,32814,1462,32983,7,34452,4.24,318195,34276,65799,279192,14.6,10.8,28,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,increased by,increased by,increased by,increased by,12.3,0.5,34.4,3.7,%,%,%,%,455,169,487,4968,2634,16,9,1.5,31484,464,1330,0,2775,243,33,0,224,25,47
5,7,13,CALHOUN,Calhoun,Calhoun,Calhoun County,FL,14444,667,8,9,56,70,95,97,120,96,76,40,0,0 to 99,54,0,399,255,13,667,0,0,17,186,507,666,172,494,0,1,666,156,16,0,0,0,110,62,1,3,19,21,16,20,25,20,25,22,0,1 to 99,56,132,18,8,14,10,139,23,28,0,20,0,0,7,172,62,110,172,0,0,1140,0,1318,1140,172,0,26,0,26,0,1344,172,198,1358,9.4,12.8,25.8,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,increased by,did not change,increased by,increased by,200,,250,39.6,%,,%,%,19,6,7,28,20,17,12,4.1,162,7,10,0,7,0,0,0,6,0,1
56,8,15,CHARLOTTE,Charlotte,Charlotte,Charlotte County,FL,176954,6149,69,61,339,535,606,864,1171,1145,782,569,8,0 to 119,60,16,3570,2505,58,6127,22,0,324,581,5197,6146,1212,4933,1,3,6123,1029,177,5,1,16,644,542,12,17,117,135,116,168,215,174,129,127,2,0 to 101,56,864,79,47,216,81,870,255,158,1,174,1,0,79,1212,543,648,1206,6,0,15968,16,17208,15984,1212,58,1907,0,1965,2.95,19173,1270,3119,14257,8.1,6.6,20.7,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,increased by,decreased by,decreased by,decreased by,109.1,22,11.7,50.5,%,%,%,%,123,50,79,159,175,14,15,6.5,1158,79,54,0,43,2,0,0,4,2,2
32,9,17,CITRUS,Citrus,Citrus,Citrus County,FL,143087,4640,60,92,292,470,437,566,856,987,664,208,8,0 to 222,59,0,2589,1880,171,4632,8,0,154,763,3976,4635,620,4014,1,5,4627,416,201,1,0,0,308,307,6,16,81,87,78,90,127,74,40,19,0,0 to 97,49,466,38,42,71,44,481,92,55,0,67,0,0,16,618,307,309,617,1,0,12353,6,12986,12359,618,29,1044,0,1073,2.7,14059,647,1664,10343,7.2,4.6,13.9,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,YES,increased by,decreased by,increased by,decreased by,30.6,14.3,56.6,13.2,%,%,%,%,8,1,16,55,67,9,11,2.6,577,15,41,1,33,1,0,0,9,-1,3
22,10,19,CLAY,Clay,Clay,Clay County,FL,207291,9490,169,257,832,1180,1348,1563,1620,1389,790,320,22,0 to 101,51,8,5420,3949,113,9467,23,0,370,817,8349,9480,1602,7877,1,10,9456,1506,91,5,0,4,866,724,14,48,227,277,253,273,220,157,84,48,1,0 to 100,44,715,283,123,476,141,929,527,237,0,136,0,0,39,1602,727,868,1597,5,0,21648,18,23280,21666,1602,48,1332,0,1380,3.48,24660,1650,2934,20340,9.8,6.7,17.4,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,decreased by,decreased by,increased by,decreased by,26,29.6,53.6,0.9,%,%,%,%,75,24,39,237,136,15,9,2.4,1557,36,45,3,83,7,1,0,5,12,5
47,11,21,COLLIER,Collier,Collier,Collier County,FL,363922,20266,523,813,2219,2519,2646,2732,2894,2930,2214,738,38,0 to 105,50,39,10756,9363,108,19890,376,0,727,3703,15914,20129,6733,13393,3,137,19750,6279,355,81,16,33,3303,3286,185,348,1230,1141,1148,1022,795,434,299,129,0,0 to 101,38,3151,335,488,2660,2719,1397,2518,722,21,463,11,6,96,6731,3340,3340,6634,97,0,38396,279,45447,38675,6731,404,11524,1,11929,3.39,57376,7135,18257,52187,14.3,12.4,35.2,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,increased by,increased by,increased by,decreased by,8.5,8.3,31.4,14.5,%,%,%,%,53,38,102,743,474,12,8,1.5,6465,94,266,2,757,45,18,0,7,5,11
