"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,17440,237,278,2337,3326,2492,2435,2727,1991,954,596,67,"0 to 119",45,9964,7333,143,17143,297,0,509,16302,1140,88,2683,14749,6,2,17135,2554,81,36,12,1368,1263,4,2635,26,77,835,630,311,299,244,163,64,32,2,"0 to 103","30",916,644,359,716,381,1462,792,206,8,113,9,1,14,2683,1292,1386,2635,48,0,54733,247,57681,54980,2683,55,1677,0,1732,3.18,59413,2738,16426,19172,"7.3",4.6,15.7,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","decreased by","15.6","40","4.1","13.1","%","%","%","%",49,10,15,214,122,8,5,0.6,2619,14,64,1,147,8,2,0,"20",4,3
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,1124,36,24,137,175,164,178,180,117,78,33,2,"0 to 99",46,633,463,28,1064,60,0,88,861,271,7,238,877,0,9,1055,165,72,1,0,116,119,2,237,3,8,37,40,41,35,36,17,17,4,0,"1 to 97","42",165,42,17,13,7,210,20,33,0,24,0,0,4,238,120,116,237,1,0,3356,58,3652,3414,238,0,50,0,50,0,3702,238,927,1174,"4.2",6.4,21.2,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","increased by","50","60","19","99.7","%","%","%","%",1,3,4,33,24,14,11,1.7,232,4,6,0,16,2,1,0,"17",0,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,5118,65,72,546,789,760,851,868,579,334,199,55,"0 to 119",48,2830,2233,55,5044,74,0,357,4233,1164,103,2105,3010,0,3,5041,1932,118,53,2,1106,938,6,2050,30,40,366,441,366,355,273,154,60,20,0,"0 to 96","39",1121,231,111,587,187,1212,651,176,9,63,4,3,9,2105,969,1130,2050,55,0,16521,23,18675,16544,2105,17,907,0,924,1.84,19599,2122,3917,6042,"3.3",10.8,41.5,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","decreased by","20.6","11.4","64.1","49.2","%","%","%","%",27,0,12,185,67,9,4,0.6,2000,12,105,0,118,2,1,0,"31",15,1
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1628,27,37,151,210,193,244,306,196,155,103,6,"0 to 118",52,1021,585,22,1626,2,0,72,1387,282,2,195,1432,0,1,1625,126,69,0,0,119,76,0,195,4,8,32,24,30,31,20,12,22,12,0,"0 to 107","44",136,53,6,0,6,189,0,31,0,22,0,0,2,195,76,119,195,0,0,3291,2,3491,3293,195,7,68,0,75,9.33,3566,202,1500,1703,"6.3",5.7,12.4,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","50","11.1","35","53.4","%","%","%","%",4,2,2,31,22,16,12,1,190,2,5,0,17,0,0,0,"8",0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,23173,301,437,1808,2597,2630,3243,4877,4218,2253,663,146,"0 to 119",56,12992,10068,113,23149,24,0,958,20892,3220,130,4303,18866,0,4,23145,4197,88,15,3,2229,2036,20,4285,46,102,836,845,634,610,566,335,189,140,0,"0 to 103","39",2180,361,329,1415,593,2167,1525,557,4,282,3,0,50,4303,2043,2240,4285,18,0,64286,6,68645,64292,4303,92,3833,1,3926,2.34,72571,4395,22699,27099,"4.7",6.1,19,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","decreased by","29.3","35.2","0.2","19.8","%","%","%","%",237,14,50,561,285,14,7,1.2,4222,50,81,0,234,25,4,0,"3",-9,21
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,131168,2981,4113,11825,20850,20769,22186,22330,14550,7552,3800,212,"0 to 119",47,70552,59028,1588,129462,1706,0,5532,105302,25639,1158,40976,90061,23,108,129334,38530,1994,423,29,20786,19512,226,40524,841,1882,5967,8258,7261,6640,5406,2685,1363,657,16,"0 to 119","39",14574,10763,2800,12387,13013,15729,11782,5397,84,2794,66,25,512,40976,19801,20936,40524,452,0,280060,1236,322618,281296,40976,1462,32983,7,34452,4.24,357070,42438,123044,165620,"8.7",11.9,32.4,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","decreased by","21.9","28.1","5.3","5","%","%","%","%",548,172,537,5481,2860,14,7,1.3,39281,517,1695,20,3739,288,37,0,"241",32,50
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,749,14,17,70,75,112,106,129,105,80,41,0,"0 to 99",53,444,291,14,749,0,0,22,478,193,9,229,519,0,1,748,213,16,0,0,140,89,0,229,1,6,29,25,22,30,34,29,29,24,0,"1 to 99","55",175,17,17,20,12,190,27,30,0,20,0,0,7,229,89,140,229,0,0,1622,0,1857,1622,229,0,26,0,26,0,1883,229,545,775,"5.4",12.2,30.6,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","NO","decreased by","decreased by","decreased by","decreased by","83.3","50","1.6","46.4","%","%","%","%",15,6,7,30,20,14,9,3.1,222,7,7,0,13,0,0,0,"6",-1,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,6420,76,68,373,567,636,909,1217,1189,801,576,8,"0 to 119",59,3709,2630,81,6398,22,0,386,5358,1061,31,1470,4944,1,5,6392,1275,189,5,1,773,665,26,1464,14,24,152,164,147,212,258,214,148,136,1,"0 to 101","55",1016,87,57,304,102,1015,347,173,1,186,1,0,82,1470,666,777,1464,6,0,17880,16,19377,17896,1470,58,1907,0,1965,2.95,21342,1528,6851,8385,"4.7",7.2,23.8,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","34.8","25","69.5","35.9","%","%","%","%",131,51,82,174,187,12,13,5.6,1431,81,39,1,60,2,0,0,"4",11,3
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4966,75,105,339,520,467,608,906,1031,691,216,8,"0 to 222",59,2786,2024,156,4957,9,0,201,3803,770,39,855,4103,1,7,4950,525,328,2,0,432,418,3,853,9,22,114,121,95,124,162,114,67,27,0,"0 to 97","50",623,50,56,124,51,645,157,62,0,83,0,0,17,855,419,433,853,2,0,13615,6,14483,13621,855,29,1044,0,1073,2.7,15556,884,5147,6039,"4.2",5.7,17.8,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","36.5","15.4","49.1","53.2","%","%","%","%",24,1,17,62,83,8,10,2,796,17,59,0,53,1,0,0,"12",0,2
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,10074,193,291,953,1256,1430,1650,1694,1433,817,335,22,"0 to 101",50,5744,4212,118,10048,26,0,454,8529,1390,87,2137,7926,1,10,10037,2020,109,8,0,1159,962,8,2129,20,76,340,349,332,358,290,197,112,62,1,"0 to 100","43",937,349,162,681,197,1190,742,284,0,151,0,0,43,2137,966,1163,2129,8,0,24903,18,27071,24921,2137,48,1332,0,1380,3.48,28451,2185,9258,11454,"5.5",7.7,21.7,"2020-07-12 05:00:00","2020-07-18 05:00:00","YES","NO","NO","YES","decreased by","decreased by","increased by","decreased by","23.7","42.4","18.3","3.7","%","%","%","%",77,26,43,284,151,14,8,2,2083,42,54,1,146,11,1,0,"6",0,7
