OBJECTID_1,DEPCODE,FIPS,COUNTYNAME,County_1,County2,County3,State,CountyPopulation,NumPeopleTested,TPositive,TNegative,TInconc,TPending,T_Total_Re,T_LabPriva,T_LabDOH_R,T_LabPri_1,T_LabDOH_N,C_Female,C_Male,C_SexUnkn,C_AllResTy,C_Age_0_4,C_Age_5_14,C_Age_15_2,C_Age_25_3,C_Age_35_4,C_Age_45_5,C_Age_55_6,C_Age_65_7,C_Age_75_8,C_Age_85pl,C_Age_Unkn,C_AgeRange,C_AgeMedia,C_RaceWhit,C_RaceBlac,C_RaceOthe,C_RaceUnkn,C_Hispanic,C_Hispan_1,C_Hispan_2,C_EDYes_Re,C_EDYes_No,C_HospYesRES,C_HospYesNONRES,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFL,T_total,T_negative,T_positive,Anitbody_Positive,Antibody_Negative,Antibody_Inconclusive,Antibody_tested,Antibody_PctPos,Tests_AllSources,Postive_AllSources,Negative_Allsources,TestedPeople_AllSources,Percent_PopTest,Percent_PosTests,Percent_PositivePeople,Start,End,M_ILI,M_COVID,M_PosTests,M_PctPos,D_ILI,D_COVID,D_PosTests,D_PctPos,P_ILI,P_COVID,P_PosTests,P_PctPos,Text_ILI,Text_COVID,Text_PosTests,Text_PctPos,C_LTCF_Cases,C_LTCF_Deaths,ALL_DEATHS,ALL_ER,ALL_HOSPITAL,Perc_ER,Perc_Hosp,Perc_Died,Cases_Yesterday,Deaths_Yesterday,C_deltaCases,C_DeltaDeaths,C_Pediatric_Cases,C_Pedia_ER,C_Pedia_Hosp,C_PrisonDeaths,C_Delta2,C_Trend1,C_Trend2
66,1,1,ALACHUA,Alachua,Alachua,Alachua County,FL,263148,18434,3749,14675,6,4,18124,3558,139,40,12,2013,1675,9,3697,57,140,1044,864,462,428,373,231,103,45,2,0 to 103,31,1228,1052,464,953,476,2136,1085,283,11,148,11,1,23,3749,1704,2035,3697,52,0,63888,257,67917,64145,3749,81,1877,0,1958,4.14,69875,3830,16552,20392,7.7,5.5,20.8,7/26/2020 5:00,8/1/2020 5:00,YES,YES,NO,YES,decreased by,decreased by,decreased by,increased by,16.2,16.5,1.5,24.1,%,%,%,%,68,11,24,294,159,8,5,0.6,3662,24,87,0,280,18,3,0,26,0,3
17,2,3,BAKER,Baker,Baker,Baker County,FL,27785,1334,403,913,0,18,1257,313,90,0,0,196,206,1,403,4,14,65,64,80,63,59,26,22,6,0,1 to 97,40,261,70,40,32,13,341,49,50,0,26,0,0,4,403,206,196,403,0,0,3945,59,4409,4004,403,0,57,0,57,0,4466,403,970,1391,5,9,30.2,7/26/2020 5:00,8/1/2020 5:00,NO,NO,NO,NO,increased by,increased by,increased by,decreased by,50,10,31.2,2.9,%,%,%,%,1,3,4,50,26,13,7,1,386,4,17,0,29,3,0,0,41,0,0
15,3,5,BAY,Bay,Bay,Bay County,FL,182482,6725,3701,3009,0,15,6628,3503,136,60,2,1780,1844,15,3639,47,74,570,753,663,628,482,297,139,48,0,0 to 104,41,2134,392,230,883,328,2239,1072,378,13,150,5,4,22,3701,1879,1806,3639,62,0,19994,38,23776,20032,3701,35,1066,0,1101,3.18,24877,3736,4075,7826,4.3,15,55.6,7/26/2020 5:00,8/1/2020 5:00,NO,YES,NO,NO,decreased by,decreased by,decreased by,decreased by,28.3,12,31,27.3,%,%,%,%,62,0,26,391,155,11,5,0.7,3673,25,28,1,204,7,2,0,59,0,7
40,4,7,BRADFORD,Bradford,Bradford,Bradford County,FL,26979,1788,340,1447,0,1,1785,243,97,0,0,164,176,0,340,6,13,47,39,58,58,56,24,26,13,0,0 to 107,46,200,83,16,41,10,279,51,36,0,26,0,0,4,340,176,164,340,0,0,3828,2,4173,3830,340,7,77,0,84,8.33,4257,347,1524,1872,6.9,8.2,19.4,7/26/2020 5:00,8/1/2020 5:00,NO,YES,NO,NO,decreased by,decreased by,increased by,increased by,50,20,5.7,19.3,%,%,%,%,3,2,4,36,26,11,8,1.2,337,4,3,0,28,0,0,0,79,0,1
42,5,9,BREVARD,Brevard,Brevard,Brevard County,FL,576808,24501,5619,18872,0,10,24464,5489,109,18,3,2975,2600,23,5598,55,144,1015,994,820,825,783,477,289,217,0,0 to 105,41,2920,601,469,1608,730,3064,1804,810,6,404,3,0,117,5619,2610,2986,5598,21,0,74456,15,80148,74471,5619,144,4648,1,4793,3,84941,5763,23520,29294,5.1,6.8,23.5,7/26/2020 5:00,8/1/2020 5:00,NO,NO,YES,YES,decreased by,decreased by,decreased by,decreased by,29.6,27.5,17.9,15.5,%,%,%,%,255,52,117,816,407,15,8,2.1,5587,117,32,0,313,37,5,0,5,0,52
62,6,11,BROWARD,Broward,Broward,Broward County,FL,1909151,150048,58531,91327,28,162,148105,55190,2829,476,36,30080,27694,245,58019,1244,3029,8562,11422,10215,9528,7747,3873,1906,976,29,0 to 102,39,20129,14886,5650,17354,19263,21983,16773,6472,86,3365,66,25,748,58531,28025,30259,58019,512,0,351551,1313,412071,352864,58531,2191,39504,7,41702,5.25,453773,60722,130831,191750,10,13.4,40.5,7/26/2020 5:00,8/1/2020 5:00,NO,YES,NO,YES,increased by,decreased by,decreased by,decreased by,17,33.3,13.8,12.4,%,%,%,%,736,206,773,6558,3431,12,6,1.3,57975,770,556,3,5825,374,52,0,268,1,141
5,7,13,CALHOUN,Calhoun,Calhoun,Calhoun County,FL,14444,870,328,541,0,1,869,312,16,0,0,175,152,1,328,2,10,38,51,42,43,48,36,33,25,0,1 to 99,50,232,25,20,51,16,249,63,40,0,26,0,0,7,328,152,175,328,0,0,1986,0,2318,1986,328,0,26,0,26,0,2344,328,567,896,6.2,14,37.7,7/26/2020 5:00,8/1/2020 5:00,YES,NO,NO,NO,did not change,decreased by,increased by,increased by,,55.6,93.9,13.2,,%,%,%,13,6,7,40,26,13,8,2.1,319,7,9,0,18,0,0,0,11,0,0
56,8,15,CHARLOTTE,Charlotte,Charlotte,Charlotte County,FL,176954,7046,2062,4973,1,10,7013,1840,216,5,1,1048,984,24,2056,21,41,218,240,218,296,370,298,203,156,1,0 to 101,54,1448,123,107,378,157,1432,467,207,1,222,1,0,89,2062,985,1052,2056,6,0,21930,16,24030,21946,2062,83,2259,0,2342,3.54,26372,2145,7232,9388,5.3,8.1,30.4,7/26/2020 5:00,8/1/2020 5:00,YES,NO,NO,YES,decreased by,decreased by,increased by,increased by,45.5,50,34.3,28.2,%,%,%,%,139,52,89,208,223,11,11,4.3,2024,89,38,0,94,4,0,3,53,0,5
32,9,17,CITRUS,Citrus,Citrus,Citrus County,FL,143087,5561,1299,4232,1,29,5523,761,536,2,0,665,631,1,1297,12,37,191,163,145,200,250,155,99,47,0,0 to 100,50,997,91,87,122,69,1058,170,91,0,121,0,0,30,1299,632,666,1297,2,0,15882,7,17202,15889,1299,33,1196,0,1229,2.69,18431,1332,5428,6790,4.7,7.2,24,7/26/2020 5:00,8/1/2020 5:00,NO,NO,NO,YES,increased by,increased by,decreased by,decreased by,53.1,11.4,29,7.4,%,%,%,%,61,6,30,91,121,8,10,2.3,1291,30,8,0,107,3,1,0,41,0,10
22,10,19,CLAY,Clay,Clay,Clay County,FL,207291,10951,2935,8003,1,12,10911,2804,122,9,0,1611,1306,9,2926,26,96,471,448,461,497,406,274,166,89,1,0 to 100,44,1442,500,234,750,280,1823,823,431,0,196,0,0,48,2935,1310,1616,2926,9,0,29737,18,32705,29755,2935,63,1593,0,1656,3.8,34361,2998,9596,12607,6.1,8.7,27.4,7/26/2020 5:00,8/1/2020 5:00,NO,YES,YES,YES,decreased by,decreased by,decreased by,increased by,26.5,57,18.2,17.5,%,%,%,%,83,29,48,431,196,15,7,1.6,2908,48,27,0,199,16,1,0,10,0,1
