"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,18944,4309,14625,6,4,18628,4088,163,46,12,2332,1907,12,4251,69,183,1161,978,537,503,435,274,112,54,3,"0 to 103","31",1422,1292,523,1014,525,2546,1180,359,11,189,12,1,26,4309,1940,2356,4251,58,0,68153,258,72746,68411,4309,100,2049,0,2149,4.65,74895,4409,16674,21093,"8",5.9,23.3,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","NO","YES","YES","increased by","decreased by","decreased by","decreased by","11.8","7.7","7.8","4.8","%","%","%","%",97,11,27,370,201,9,5,0.6,4246,27,63,0,346,23,5,0,"59",0,1
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2015,1044,935,0,36,1920,947,97,0,0,259,784,1,1044,5,17,104,250,251,179,151,51,29,7,0,"1 to 97","40",420,137,41,446,13,509,522,62,0,35,0,0,4,1044,784,259,1044,0,0,4787,59,5915,4846,1044,1,68,0,69,1.45,5984,1045,1003,2084,"7.5",17.5,51.9,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","NO","NO","NO","did not change","decreased by","increased by","increased by","","38.5","528.9","171.1","","%","%","%",1,3,4,62,35,6,4,0.4,964,4,80,0,37,3,0,0,"554",0,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,7598,4551,3035,0,12,7496,4343,138,68,2,2180,2234,67,4481,55,87,714,885,767,789,621,372,182,60,19,"0 to 99","41",2426,449,538,1068,325,2746,1410,496,14,210,5,5,52,4551,2276,2207,4481,70,0,22703,38,27347,22741,4551,58,1190,0,1248,4.65,28595,4609,4225,8846,"4.8",16.1,60.7,"2020-08-02 05:00:00","2020-08-08 05:00:00","YES","NO","NO","YES","decreased by","decreased by","increased by","decreased by","36.4","57.5","5.9","25.5","%","%","%","%",50,6,57,510,215,12,5,1.3,4523,57,28,0,252,12,3,1,"372",0,7
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1994,535,1458,0,1,1991,425,110,0,0,201,334,0,535,9,16,62,76,89,95,100,43,32,13,0,"0 to 107","46",303,164,22,46,15,455,65,45,0,30,0,0,4,535,334,201,535,0,0,4080,2,4639,4082,535,7,88,0,95,7.37,4734,542,1546,2089,"7.7",11.4,27.2,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","66.7","11.1","112.2","79","%","%","%","%",3,2,4,45,30,9,6,0.7,519,4,16,0,34,0,0,0,"217",0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,25142,6248,18879,0,15,25100,6112,115,18,3,3308,2891,28,6227,63,157,1087,1069,906,907,888,541,349,266,15,"0 to 105","42",3259,740,539,1689,796,3491,1940,988,6,500,3,1,160,6248,2901,3319,6227,21,0,78729,17,85051,78746,6248,211,5304,1,5516,3.83,90567,6459,24183,30658,"5.3",7.1,25.7,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","increased by","32","3.5","21.7","3.1","%","%","%","%",239,74,161,994,503,16,9,2.6,6190,158,58,3,345,41,6,0,"55",0,29
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,156840,64080,92559,28,173,154895,59320,4239,488,33,33065,30299,195,63559,1367,3403,9318,12375,11118,10455,8537,4254,2108,1109,36,"0 to 119","39",24183,16616,6914,15846,22354,25821,15384,7600,88,4080,67,26,859,64080,30640,33243,63559,521,0,379538,1309,445709,380847,64080,3078,44733,10,47821,6.44,493530,67158,137292,204661,"10.7",13.6,42.8,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","44.1","33.6","48.2","25.5","%","%","%","%",660,225,885,7688,4147,12,7,1.4,63605,882,475,3,6481,450,65,0,"290",1,77
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1036,482,553,0,1,1035,466,16,0,0,199,282,1,482,2,14,50,91,88,67,61,46,36,27,0,"1 to 99","44",299,61,27,95,19,353,110,51,0,31,0,0,8,482,282,199,482,0,0,3640,0,4138,3640,482,4,32,0,36,11.11,4174,486,585,1072,"7.4",11.6,46.9,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","YES","NO","NO","increased by","did not change","increased by","decreased by","500","","146","24.4","%","","%","%",13,6,8,51,31,11,7,1.7,481,8,1,0,23,0,0,0,"74",0,1
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7263,2297,4954,1,11,7228,2064,226,6,1,1183,1087,20,2290,23,49,247,263,246,334,414,329,226,165,1,"0 to 101","54",1717,132,139,302,180,1717,393,229,1,242,1,0,96,2297,1089,1187,2290,7,0,24344,16,26689,24360,2297,107,2612,0,2719,3.94,29408,2404,7566,9982,"5.6",8.2,33.1,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","100","37.8","39.2","42.9","%","%","%","%",168,53,96,230,243,11,11,4.2,2281,94,16,2,106,4,0,0,"54",0,7
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,5942,1614,4292,1,35,5895,974,636,3,1,837,761,12,1610,13,47,216,196,186,247,301,198,134,62,14,"0 to 100","51",1248,105,118,139,85,1323,202,119,0,154,0,0,38,1614,764,838,1610,4,0,17231,8,18864,17239,1614,39,1327,0,1366,2.86,20230,1653,5619,7308,"5.1",8.2,27.8,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","decreased by","61.2","53.3","23.2","2.4","%","%","%","%",38,10,38,119,154,8,10,2.4,1594,37,20,1,126,3,1,0,"47",0,4
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,11477,3335,8128,1,13,11434,3201,123,11,0,1821,1492,11,3324,32,109,538,492,523,586,462,302,189,102,0,"0 to 100","44",1676,565,274,809,308,2123,893,490,0,220,0,0,53,3335,1497,1827,3324,11,0,31968,18,35341,31986,3335,77,1813,0,1890,4.07,37231,3412,9941,13367,"6.4",9.2,29.7,"2020-08-02 05:00:00","2020-08-08 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","16","36.1","2.4","6.2","%","%","%","%",110,31,53,490,220,15,7,1.6,3327,52,8,1,238,20,2,0,"12",0,4
