"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,19279,4670,14600,5,4,18965,4445,167,46,12,2522,2065,25,4612,75,199,1212,1032,588,548,485,316,130,74,11,"0 to 103","32",1565,1404,550,1093,540,2752,1320,411,13,216,15,1,29,4670,2099,2545,4612,58,0,71089,256,76040,71345,4670,100,2049,0,2149,4.65,78189,4770,16649,21428,"8.1",6.1,24.7,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","15.4","26.5","0.6","2.3","%","%","%","%",97,11,30,424,231,10,5,0.6,4629,29,41,1,365,28,5,0,"65",0,3,"159",4620,"50"
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2055,1078,942,0,35,1962,975,103,0,0,278,800,0,1078,5,17,112,255,257,184,156,53,30,9,0,"1 to 97","40",452,139,44,443,14,546,518,66,0,38,0,0,4,1078,800,278,1078,0,0,5177,58,6338,5235,1078,1,68,0,69,1.45,6407,1079,1010,2124,"7.6",16.8,52.5,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","YES","NO","NO","decreased by","did not change","decreased by","decreased by","44.4","","67.6","45.4","%","","%","%",0,3,4,66,38,7,4,0.4,1077,4,1,0,40,3,0,0,"563",0,0,"30",1070,"8"
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,7892,4836,3035,0,21,7774,4621,138,75,2,2317,2381,61,4759,60,90,747,917,805,834,676,405,208,71,23,"0 to 99","42",2593,480,604,1082,341,2945,1473,548,14,240,5,5,64,4836,2427,2347,4759,77,0,23655,38,28587,23693,4836,58,1190,0,1248,4.65,29835,4894,4225,9140,"5",16.4,62,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","4.8","46.3","45.8","9.4","%","%","%","%",58,10,69,562,245,12,6,1.4,4821,69,15,0,266,15,5,1,"387",0,13,"232",4313,"523"
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2043,573,1469,0,1,2040,454,119,0,0,221,350,2,573,11,18,68,81,92,103,106,45,33,14,2,"0 to 107","46",328,175,23,47,19,485,69,50,0,33,0,0,4,573,350,221,573,0,0,4277,2,4874,4279,573,7,88,0,95,7.37,4969,580,1557,2138,"7.9",11.7,28.4,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","NO","NO","NO","decreased by","decreased by","decreased by","decreased by","60","36.4","52.2","58.4","%","%","%","%",4,2,4,50,33,9,6,0.7,569,4,4,0,37,0,0,0,"224",0,0,"41",571,"2"
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,25434,6538,18878,0,18,25389,6392,125,18,3,3482,3001,34,6517,67,163,1112,1101,944,952,942,573,370,294,20,"0 to 105","43",3387,804,579,1747,822,3671,2024,1034,6,534,3,1,178,6538,3011,3493,6517,21,0,80958,17,87570,80975,6538,211,5304,1,5516,3.83,93086,6749,24182,30950,"5.4",7.3,26.5,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","19.7","25","7.1","8.7","%","%","%","%",259,102,179,1040,537,16,9,2.7,6511,179,27,0,365,41,6,0,"56",0,27,"844",6487,"51"
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,160232,66826,93226,34,146,158302,61670,4629,493,34,34538,31596,165,66299,1440,3659,9689,12833,11529,10887,8897,4467,2210,1177,38,"0 to 120","39",26227,17606,7575,14891,24050,27860,14389,8396,88,4558,68,26,1013,66826,31938,34721,66299,527,0,396235,1309,465236,397544,66826,3078,44733,10,47821,6.44,513057,69904,137959,208053,"10.9",13.6,43.6,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","22.1","45.3","0.8","6.4","%","%","%","%",691,266,1039,8484,4626,13,7,1.6,66447,1006,379,33,6866,503,63,0,"302",1,192,"2347",66774,"52"
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1061,503,557,0,1,1060,487,16,0,0,209,293,1,503,2,14,51,97,95,69,67,46,36,26,0,"1 to 99","44",314,81,33,75,22,391,90,54,0,31,0,0,8,503,293,209,503,0,0,3703,0,4222,3703,503,4,32,0,36,11.11,4258,507,589,1097,"7.6",11.9,47.8,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","NO","NO","YES","decreased by","decreased by","decreased by","decreased by","16.7","15.4","79.6","27.5","%","%","%","%",13,6,8,54,31,11,7,1.6,503,8,0,0,24,0,0,0,"156",0,1,"80",472,"31"
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7371,2388,4966,1,16,7332,2156,226,5,1,1230,1134,18,2382,23,52,253,268,256,350,428,341,232,182,3,"0 to 101","54",1824,142,152,264,187,1839,356,264,1,279,1,0,101,2388,1136,1233,2382,6,0,25095,16,27532,25111,2388,107,2612,0,2719,3.94,30251,2495,7578,10090,"5.7",8.2,33.8,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","YES","YES","YES","decreased by","decreased by","decreased by","increased by","16.7","36.4","33","4.4","%","%","%","%",160,56,101,265,280,12,12,4.2,2378,100,10,1,119,5,0,0,"56",0,10,"336",2323,"65"
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,6177,1799,4341,1,36,6128,1073,721,4,1,944,837,13,1794,17,64,229,220,200,275,340,225,145,67,17,"0 to 100","51",1400,108,133,153,96,1476,222,133,0,162,0,0,40,1799,841,945,1794,5,0,18043,8,19860,18051,1799,39,1327,0,1366,2.86,21226,1838,5668,7543,"5.3",8.7,29.8,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","NO","NO","NO","decreased by","increased by","decreased by","increased by","5.3","7.4","2","23.8","%","%","%","%",35,11,40,133,162,8,10,2.2,1778,40,21,0,137,0,0,0,"51",0,4,"208",1795,"4"
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,11689,3484,8190,1,14,11644,3344,128,12,0,1899,1560,13,3472,36,123,558,510,555,605,475,317,197,106,2,"0 to 100","44",1783,591,296,802,337,2251,884,542,1,251,1,0,65,3484,1566,1905,3472,12,0,33010,18,36533,33028,3484,77,1813,0,1890,4.07,38423,3561,10003,13579,"6.6",9.3,30.5,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","YES","YES","YES","did not change","decreased by","decreased by","decreased by","","47.6","38.9","15.7","","%","%","%",99,38,65,543,252,16,8,1.9,3461,65,23,0,264,20,2,0,"13",0,14,"426",3353,"131"
