"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,21445,6814,14607,4,20,21081,6532,187,83,12,3719,2975,25,6719,113,265,2398,1239,773,692,617,418,188,98,13,"0 to 118","29",2698,1763,770,1488,775,4103,1841,725,15,369,16,1,42,6814,3020,3768,6719,95,0,85134,248,92224,85382,6814,140,2347,0,2487,5.63,94711,6954,16954,23932,"9.1",7.3,32.4,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","increased by","34.4","22.7","82.1","77.8","%","%","%","%",98,17,43,740,385,11,6,0.6,6657,43,157,0,507,48,8,0,"145",0,9,"295",6653,"161",497,157,340,31.6
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2384,1353,997,0,34,2291,1159,193,0,1,409,942,1,1352,6,29,153,293,297,236,184,98,47,10,0,"0 to 97","40",664,176,47,465,17,786,549,95,0,62,0,0,11,1353,942,410,1352,1,0,6042,57,7478,6099,1353,4,72,0,76,5.26,7554,1357,1069,2460,"8.9",18,56.9,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","NO","decreased by","decreased by","decreased by","decreased by","33.3","4.5","45.4","38.8","%","%","%","%",0,3,11,95,62,8,5,0.8,1341,8,12,3,58,4,0,1,"579",0,5,"35",1333,"20",28,12,16,42.9
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,8855,5732,3104,1,18,8728,5503,141,86,2,2794,2809,41,5644,66,127,867,1081,950,956,808,503,264,91,19,"0 to 99","42",3212,587,765,1080,434,3749,1461,705,18,333,7,5,93,5732,2862,2829,5644,88,0,26942,30,32770,26972,5732,84,1288,0,1372,6.12,34142,5816,4392,10227,"5.6",17,65.7,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","NO","increased by","decreased by","increased by","increased by","72.7","2.9","13.2","76.4","%","%","%","%",49,19,98,723,340,13,6,1.7,5719,98,13,0,324,16,5,1,"442",0,6,"360",5062,"670",89,13,76,14.6
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2550,963,1585,0,2,2545,706,256,1,0,447,515,0,962,14,50,130,145,139,160,163,90,52,20,0,"0 to 107","45",612,243,48,59,29,828,105,97,0,58,0,0,6,963,516,447,962,1,0,5441,2,6426,5443,963,9,97,0,106,8.49,6532,972,1682,2656,"9.8",14.9,38.1,"2020-09-06 05:00:00","2020-09-12 05:00:00","YES","NO","NO","NO","decreased by","decreased by","decreased by","increased by","20","27","33.3","32.9","%","%","%","%",7,2,6,97,58,11,7,0.6,945,6,18,0,97,4,0,0,"257",0,1,"56",946,"17",33,18,15,54.5
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,26990,8097,18873,0,20,26938,7920,151,23,3,4367,3663,41,8071,82,250,1326,1289,1121,1138,1187,749,519,408,28,"0 to 105","44",4226,1008,691,2146,943,4575,2553,1336,6,752,3,1,266,8097,3677,4379,8071,26,0,91936,16,100109,91952,8097,279,5807,1,6087,4.58,106196,8376,24680,33077,"5.7",7.9,31,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","4.3","4.6","22.2","12.6","%","%","%","%",134,152,267,1342,755,17,10,3.3,8050,264,47,3,508,52,6,0,"66",0,29,"1133",7750,"347",221,47,174,21.3
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,171977,74832,97004,29,112,170019,68928,5303,561,40,38756,35332,143,74231,1609,4124,10954,14267,12844,12105,9971,5052,2501,1360,45,"0 to 107","39",30886,19850,10021,13474,28199,33025,13007,10115,96,5646,76,26,1297,74832,35716,38972,74231,601,0,463142,1233,540090,464375,74832,3918,48347,11,52276,7.49,592366,78750,145351,224253,"11.7",13.3,45.8,"2020-09-06 05:00:00","2020-09-12 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","6.8","17.8","48.2","30.7","%","%","%","%",364,366,1323,10211,5722,14,8,1.8,74689,1314,143,9,7749,567,83,0,"356",1,53,"3124",74208,"624",1767,143,1624,8.1
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1268,602,665,0,1,1266,577,24,1,0,257,343,1,601,5,24,67,112,106,83,76,58,43,28,0,"0 to 99","43",396,93,41,71,26,487,88,60,1,32,1,0,9,602,344,257,601,1,0,4230,0,4842,4230,602,4,36,0,40,10,4882,606,701,1308,"9.1",12.4,47.8,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","increased by","50","66.7","23.5","18.2","%","%","%","%",13,6,9,61,33,11,6,1.5,602,9,0,0,42,0,0,0,"170",0,-1,"83",563,"39",5,0,5,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7865,2895,4964,1,5,7836,2642,246,6,1,1533,1345,10,2888,24,72,305,315,313,418,523,425,280,220,0,"0 to 101","54",2249,174,271,194,239,2349,300,362,1,359,1,0,128,2895,1347,1537,2888,7,0,28912,16,31860,28928,2895,138,2908,0,3046,4.53,34906,3033,7872,10911,"6.2",8.7,38.6,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","233.3","76.9","40","29.1","%","%","%","%",113,60,128,363,360,13,13,4.4,2881,125,14,3,143,10,2,0,"64",0,10,"466",2772,"123",128,14,114,10.9
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,7166,2508,4593,2,63,7086,1620,880,4,4,1370,1116,14,2500,27,92,316,291,273,374,424,328,236,130,17,"0 to 100","51",1970,146,205,179,130,2080,290,238,0,262,1,0,76,2508,1122,1372,2500,8,0,21675,7,24202,21682,2508,61,1433,0,1494,4.08,25696,2569,6026,8660,"6.1",10,35.8,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","31.8","9.1","33.3","16.9","%","%","%","%",153,24,76,238,263,10,11,3,2493,75,15,1,219,5,2,0,"57",0,9,"447",2492,"16",75,15,60,20
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,13136,4629,8490,1,16,13087,4473,142,14,0,2421,2154,40,4615,45,161,726,692,763,821,623,408,261,125,4,"0 to 100","43",2484,704,414,1013,430,3057,1128,753,2,327,3,0,89,4629,2163,2426,4615,14,0,40306,18,44981,40324,4629,105,1975,0,2080,5.05,47061,4734,10465,15216,"7.3",10.1,36,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","decreased by","increased by","increased by","increased by","11.1","8.1","17","25.2","%","%","%","%",75,49,89,755,330,17,8,1.9,4607,88,22,1,341,38,2,0,"176",0,8,"485",4381,"248",322,22,300,6.8
47,11,21,"COLLIER","Collier","Collier","Collier County","FL",363922,26291,12272,13969,3,47,25851,11713,446,97,16,6193,5920,46,12159,330,631,2055,1966,2039,1935,1513,892,594,312,5,"0 to 104","40",6092,757,1422,3888,4892,3282,3985,1425,25,887,15,7,194,12272,5986,6240,12159,113,0,62460,280,75098,62740,12272,968,14371,1,15340,6.31,90438,13240,28340,41631,"11.4",14.6,50.4,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","2.6","4.8","44","14.1","%","%","%","%",42,85,201,1450,902,12,8,1.6,12254,200,18,1,1345,111,26,0,"82",0,7,"687",11510,"762",214,18,196,8.4
16,12,23,"COLUMBIA","Columbia","Columbia","Columbia County","FL",69105,6663,3577,3080,0,6,6631,3224,340,10,3,1145,2415,4,3564,62,135,355,631,684,609,541,345,152,62,1,"0 to 102","43",2164,1085,147,168,225,3130,209,98,1,201,2,0,50,3577,2423,1150,3564,13,0,12906,13,16553,12919,3577,28,358,0,386,7.25,16939,3605,3438,7049,"10.2",21.3,54.1,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","YES","YES","increased by","decreased by","decreased by","decreased by","20","7.1","9.1","6","%","%","%","%",23,11,50,99,203,3,6,1.4,3559,45,18,5,249,2,3,8,"1548",0,11,"248",3354,"223",57,18,39,31.6
48,13,25,"DADE","Dade","Miami-Dade","Miami-Dade County","FL",2715516,301957,165147,136212,89,509,299296,162206,1832,1089,20,83447,79596,995,164038,2604,6048,21630,30098,27383,29605,23162,12885,7255,3961,516,"0 to 108","43",65797,14562,20234,63445,76847,21075,66116,14896,94,7592,39,20,2955,165147,80195,83899,164037,1109,1,701832,973,869976,702805,165147,10918,83071,3,93992,11.62,963968,176065,219283,395949,"14.6",18.3,58.3,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","4.1","26.8","42","28.9","%","%","%","%",946,744,2975,14990,7631,10,5,1.8,164688,2943,459,32,11973,1023,157,35,"1919",2,215,"5678",163901,"1246",4215,459,3756,10.9
58,14,27,"DESOTO","Desoto","Desoto","Desoto County","FL",36399,3825,1540,2278,1,6,3805,1404,133,3,0,628,905,4,1537,44,130,215,295,285,232,182,96,45,16,0,"0 to 97","37",928,161,120,328,709,448,380,231,1,119,1,0,23,1540,906,630,1537,3,0,9182,10,10740,9192,1540,107,700,0,807,13.26,11547,1647,2978,4632,"12.7",14.3,43.1,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","increased by","decreased by","decreased by","decreased by","300","16.7","78.3","70.7","%","%","%","%",22,0,23,232,120,16,8,1.5,1539,23,1,0,225,14,3,0,"242",0,0,"62",1533,"7",16,1,15,6.2
