"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity","Y_casesall","Y_negall","Y_testedall","Y_PctPosAll","Y_CasesD7","Y_NegTestsD7","Y_testedD7","Y_PctPosD7"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,23169,8439,14691,4,35,22802,8140,216,71,12,4581,3752,23,8356,127,305,3440,1411,864,800,693,472,207,115,5,"0 to 103","27",3857,1959,924,1616,1010,5454,1892,849,19,425,24,2,61,8439,3801,4614,8356,83,0,91941,248,100658,92189,8439,210,2798,0,3008,6.98,103666,8649,17489,26177,"9.9",8.3,37.3,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","56","18.2","47.4","34.1","%","%","%","%",49,20,63,868,449,11,6,0.7,8352,63,87,0,587,51,10,0,"165",0,9,"333",8112,"327",490,87,403,17.8,"583","6672","7255","8.0",38,439,477,"7.97"
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2605,1508,1062,0,35,2511,1289,218,0,1,491,1016,0,1507,6,39,179,310,320,262,207,121,54,10,0,"0 to 97","41",789,205,49,464,17,932,558,107,0,70,0,0,13,1508,1016,492,1507,1,0,6583,58,8176,6641,1508,11,94,0,105,10.48,8281,1519,1156,2710,"9.8",18.3,58.3,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","NO","decreased by","increased by","decreased by","decreased by","25","36.8","27.9","47.3","%","%","%","%",0,3,13,107,70,8,5,0.9,1492,13,16,0,76,4,0,1,"586",0,2,"41",1459,"49",41,16,25,39,"76","580","656","11.6",5,39,44,"11.36"
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,9361,6161,3180,1,19,9204,5902,142,115,2,3029,2989,26,6044,69,153,935,1144,1015,1028,876,556,288,96,1,"0 to 99","42",3481,615,841,1107,470,4085,1489,739,19,349,8,5,111,6161,3059,3076,6044,117,0,28640,30,34900,28670,6161,140,1454,0,1594,8.78,36494,6301,4634,10955,"6",17.3,67.3,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","increased by","decreased by","increased by","decreased by","33.3","28.6","23.6","7.7","%","%","%","%",28,24,116,758,357,13,6,1.9,6146,116,15,0,375,18,5,1,"444",0,9,"381",5374,"787",124,15,109,12.1,"363","2378","2741","13.2",16,86,102,"15.69"
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2757,1138,1615,0,4,2750,843,294,1,0,553,584,0,1137,16,58,154,169,161,181,201,115,60,23,0,"0 to 107","45",754,272,52,59,34,995,108,125,0,71,0,0,9,1138,585,553,1137,1,0,5806,2,6966,5808,1138,18,120,0,138,13.04,7104,1156,1735,2895,"10.7",16.3,41.9,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","NO","decreased by","decreased by","decreased by","decreased by","44.4","15","26.3","7.1","%","%","%","%",5,2,9,125,71,11,7,0.8,1135,9,3,0,113,6,1,0,"270",0,1,"60",1109,"29",33,3,30,9.1,"113","758","871","13.0",12,39,51,"23.53"
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,28161,9221,18931,0,9,28117,9011,181,26,3,4966,4192,34,9192,96,323,1489,1434,1265,1288,1387,905,601,431,2,"0 to 105","45",4952,1094,779,2367,1032,5350,2810,1477,6,835,3,1,303,9221,4209,4978,9192,29,0,98645,16,107943,98661,9221,386,6854,2,7242,5.33,115185,9607,25785,35403,"6.1",8.3,34.1,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","12.3","11.6","5.1","34.4","%","%","%","%",82,176,304,1483,838,17,10,3.3,9154,300,67,4,633,64,9,0,"68",0,12,"1176",8510,"711",554,67,487,12.1,"633","7247","7880","8.0",53,517,570,"9.3"
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,177104,77630,99332,29,113,175085,71539,5428,623,41,40166,36667,134,76967,1658,4275,11384,14780,13330,12554,10358,5247,2599,1414,32,"0 to 107","39",32338,20420,10763,13446,29306,34746,12915,10463,103,5878,78,27,1415,77631,37092,40403,76967,664,0,495128,1233,574872,496361,77631,5913,58161,22,64096,9.23,638968,83544,157493,241200,"12.6",13.1,47.2,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","increased by","17.9","10.8","5.5","8.8","%","%","%","%",286,385,1442,10566,5956,14,8,1.9,77433,1433,198,9,8045,591,91,0,"402",1,52,"3346",76689,"942",2658,198,2460,7.4,"8026","42157","50183","16.0",120,1487,1607,"7.47"
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1309,629,679,0,1,1307,598,30,1,0,265,362,1,628,5,25,74,114,108,89,78,63,44,29,0,"0 to 99","44",415,94,43,76,27,504,97,60,1,33,1,0,13,629,363,265,628,1,0,4374,0,5013,4374,629,6,41,0,47,12.77,5060,635,720,1356,"9.4",12.5,48.5,"2020-09-20 05:00:00","2020-09-26 05:00:00","YES","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","100","100","20","13.2","%","%","%","%",14,6,13,61,34,10,6,2.1,622,12,7,1,49,0,0,0,"178",0,2,"85",588,"41",10,7,3,70,"49","420","469","10.4",3,12,15,"20"
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,8073,3105,4959,1,8,8040,2827,270,7,1,1652,1435,10,3097,26,75,328,327,331,443,553,459,320,242,1,"0 to 101","55",2376,203,280,238,249,2500,348,407,1,394,1,0,138,3105,1437,1657,3097,8,0,30890,16,34050,30906,3105,206,3398,2,3606,5.71,37656,3311,8357,11679,"6.6",8.8,41,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","61.1","20","4.9","18.6","%","%","%","%",111,63,138,408,395,14,13,4.4,3097,136,8,2,150,10,2,0,"64",0,3,"536",2958,"147",117,8,109,6.8,"150","1564","1714","8.8",6,109,115,"5.22"
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,7712,2799,4862,2,49,7646,1838,952,4,4,1560,1225,5,2790,32,99,368,320,307,415,472,365,271,147,2,"0 to 100","51",2209,169,210,202,142,2340,308,270,0,292,1,1,107,2798,1231,1562,2790,8,0,23652,7,26468,23659,2798,100,1662,0,1762,5.68,28230,2898,6524,9474,"6.6",10.3,37.6,"2020-09-20 05:00:00","2020-09-26 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","increased by","8","33.3","24.1","3.1","%","%","%","%",67,36,108,270,293,10,11,3.9,2793,108,5,0,244,5,2,0,"61",0,8,"513",2754,"44",198,5,193,2.5,"244","1899","2143","11.4",2,108,110,"1.82"
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,13933,5220,8683,3,27,13869,5033,170,16,0,2684,2468,51,5203,53,189,819,782,870,915,709,455,298,128,1,"0 to 100","43",2992,797,454,960,470,3632,1101,847,2,361,3,0,105,5219,2477,2691,5203,16,0,43999,18,49265,44017,5219,156,2273,0,2429,6.42,51694,5375,10956,16362,"7.9",10.4,38.6,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","YES","did not change","increased by","increased by","increased by","","2.5","14","32.3","","%","%","%",75,52,105,849,364,17,7,2,5193,103,26,2,405,47,3,0,"245",0,7,"506",4922,"297",276,26,250,9.4,"404","4466","4870","8.3",32,307,339,"9.44"
