"Timestamp1","OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity","Y_casesall","Y_negall","Y_testedall","Y_PctPosAll","Y_CasesD7","Y_NegTestsD7","Y_testedD7","Y_PctPosD7"
2020-10-13 16:24:46,66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,23828,9055,14730,4,39,23453,8739,229,75,12,4915,4036,17,8968,137,338,3775,1483,901,843,723,505,227,119,4,"0 to 103","26",4403,2067,998,1500,1141,6063,1764,967,22,460,26,2,70,9055,4087,4949,8968,87,0,95526,249,104861,95775,9055,210,2798,0,3008,6.98,107869,9265,17528,26836,"10.2",8.6,38.9,"2020-10-04 05:00:00","2020-10-10 05:00:00","NO","YES","YES","YES","increased by","did not change","decreased by","increased by","14.3","","15.3","5.6","%","","%","%",113,25,72,989,486,11,6,0.8,8985,71,70,1,649,62,12,0,"170",0,7,"371",8662,"393",406,70,336,17.2,"644","7362","8006","8.0",35,406,441,"7.94"
2020-10-13 16:24:46,17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2766,1625,1104,0,37,2670,1348,276,0,1,531,1093,0,1624,7,45,190,347,346,278,218,125,56,13,0,"0 to 103","40",843,221,52,508,18,1003,603,116,0,79,0,0,16,1625,1093,532,1624,1,0,6841,55,8548,6896,1625,11,94,0,105,10.48,8653,1636,1198,2871,"10.3",18.9,59.1,"2020-10-04 05:00:00","2020-10-10 05:00:00","NO","YES","NO","NO","increased by","decreased by","increased by","increased by","60","30.8","88.5","56.3","%","%","%","%",0,3,16,116,79,8,5,1,1622,16,3,0,86,4,0,1,"632",0,3,"46",1561,"64",46,3,43,6.5,"86","639","725","11.9",9,38,47,"19.15"
2020-10-13 16:24:46,15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,9597,6347,3228,1,21,9410,6053,149,143,2,3106,3067,29,6202,71,165,967,1172,1040,1064,904,574,292,97,1,"0 to 99","42",3597,634,856,1115,482,4229,1491,756,21,362,10,6,122,6347,3149,3169,6202,145,0,30087,30,36538,30117,6347,140,1454,0,1594,8.78,38132,6487,4682,11191,"6.1",17,67.6,"2020-10-04 05:00:00","2020-10-10 05:00:00","NO","NO","YES","YES","did not change","increased by","decreased by","decreased by","","3.1","23","35.4","","%","%","%",40,25,128,777,372,13,6,2,6303,128,44,0,398,20,6,1,"444",0,10,"377",5477,"870",157,44,113,28,"383","2583","2966","12.9",11,120,131,"8.4"
2020-10-13 16:24:46,40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2821,1181,1636,0,4,2814,875,305,1,0,573,607,0,1180,18,59,158,176,169,187,208,119,63,24,0,"0 to 107","45",784,282,56,58,34,1052,94,135,0,71,0,0,11,1181,608,573,1180,1,0,5977,2,7180,5979,1181,18,120,0,138,13.04,7318,1199,1756,2959,"11",16.4,42.5,"2020-10-04 05:00:00","2020-10-10 05:00:00","NO","NO","YES","YES","increased by","increased by","decreased by","decreased by","600","240","56.6","63.5","%","%","%","%",7,2,11,135,71,12,7,0.9,1177,11,4,0,117,7,1,0,"275",0,2,"63",1151,"30",37,4,33,10.8,"117","803","920","12.7",3,32,35,"8.57"
2020-10-13 16:24:46,42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,29001,10025,18966,0,10,28946,9785,201,35,4,5358,4591,37,9986,105,371,1610,1558,1359,1383,1535,1006,653,443,2,"0 to 105","45",5446,1154,849,2537,1111,5878,2997,1557,9,900,3,1,329,10025,4610,5378,9986,39,0,103005,14,113108,103019,10025,386,6854,2,7242,5.33,120350,10411,25820,36243,"6.3",8.7,35.9,"2020-10-04 05:00:00","2020-10-10 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","decreased by","3.6","14","0.9","20.4","%","%","%","%",173,182,330,1566,903,16,10,3.3,9936,326,89,4,727,65,9,0,"69",0,20,"1201",9059,"966",393,89,304,22.6,"725","7929","8654","8.4",53,413,466,"11.37"
2020-10-13 16:24:46,62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,180509,79611,100743,29,126,178445,73411,5505,653,42,41097,37685,134,78916,1701,4409,11714,15172,13625,12894,10581,5366,2660,1455,34,"0 to 107","39",33387,20730,11344,13455,30000,35988,12928,10640,104,5982,79,27,1481,79611,38128,41347,78916,695,0,517597,1234,599324,518831,79611,5913,58161,22,64096,9.23,663420,85524,158904,244605,"12.8",12.9,47.4,"2020-10-04 05:00:00","2020-10-10 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","increased by","28.1","6.2","28.2","3.9","%","%","%","%",397,400,1508,10744,6061,14,8,1.9,79434,1495,177,13,8276,602,92,0,"405",1,53,"3428",78467,"1144",2730,177,2553,6.5,"8257","44849","53106","15.5",174,2012,2186,"7.96"
2020-10-13 16:24:46,5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1349,652,696,0,1,1347,617,34,1,0,277,373,1,651,5,25,73,123,113,94,82,64,44,29,0,"0 to 99","43",434,95,45,77,27,523,101,62,1,34,1,0,14,652,374,277,651,1,0,4419,0,5081,4419,652,6,41,0,47,12.77,5128,658,737,1396,"9.7",12.8,48.8,"2020-10-04 05:00:00","2020-10-10 05:00:00","NO","NO","NO","YES","decreased by","increased by","increased by","increased by","100","200","35.7","23.9","%","%","%","%",13,6,14,63,35,10,6,2.1,651,14,1,0,48,0,0,0,"187",0,1,"89",607,"45",12,1,11,8.3,"48","445","493","9.7",-1,21,20,"0"
2020-10-13 16:24:46,56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,8250,3265,4977,1,7,8218,2970,287,7,1,1742,1504,11,3257,26,83,336,340,342,464,578,504,348,244,0,"0 to 101","55",2514,215,289,239,264,2635,358,434,1,410,1,0,149,3265,1506,1747,3257,8,0,32514,17,35834,32531,3265,206,3398,2,3606,5.71,39440,3471,8375,11856,"6.7",8.8,42.1,"2020-10-04 05:00:00","2020-10-10 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","109.1","10.7","9.4","25.2","%","%","%","%",129,64,149,435,411,14,13,4.6,3253,149,12,0,159,10,1,0,"65",0,10,"541",3067,"198",119,12,107,10.1,"159","1722","1881","8.5",8,102,110,"7.27"
2020-10-13 16:24:46,32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,8071,2961,5058,2,50,8000,1958,990,5,7,1654,1291,3,2948,35,110,383,338,321,434,501,395,288,153,2,"0 to 100","52",2347,176,217,208,144,2481,323,282,1,306,1,1,121,2960,1300,1657,2948,12,0,24569,7,27547,24576,2960,100,1662,0,1762,5.68,29309,3060,6720,9833,"6.9",10.4,37.9,"2020-10-04 05:00:00","2020-10-10 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","increased by","35.3","10.5","17","19.7","%","%","%","%",145,41,122,283,307,10,11,4.1,2950,119,10,3,260,6,2,0,"61",0,10,"530",2904,"56",132,10,122,7.6,"260","2091","2351","11.1",9,136,145,"6.21"
2020-10-13 16:24:46,22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,14390,5536,8824,1,29,14326,5331,188,16,0,2858,2614,47,5519,59,210,861,814,930,965,753,490,311,141,1,"0 to 102","43",3250,839,477,953,504,3920,1095,909,2,384,3,0,111,5535,2623,2865,5519,16,0,46358,18,51942,46376,5535,156,2273,0,2429,6.42,54371,5691,11097,16819,"8.1",10.5,39.5,"2020-10-04 05:00:00","2020-10-10 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","decreased by","21.9","1.2","6.7","12.5","%","%","%","%",77,55,111,911,387,17,7,2,5503,111,32,0,450,56,5,0,"246",0,4,"532",5212,"323",312,32,280,10.3,"449","4871","5320","8.4",28,227,255,"10.98"
